variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s8_mean_conf_thr0p6_a0p25,0.4106817057887424,0.0016297451624607828,0.2934163450673006,0.0036851249855856527,0.6644029428409358,0.03583151426954245,0.023022432113341203,-0.0029515938606847723
phrd_s8_region_entropy_score_thr0p6_a0p25,0.4102583290907993,0.0012063684645176598,0.29228448252477757,0.0025532624430626427,0.6559139784945865,0.027342549923193182,0.023022432113341203,-0.0029515938606847723
phrd_s8_pred_agreement_thr0p6_a0p25,0.41008835179876824,0.001036391172486606,0.29254111455205595,0.0028098944703410234,0.6578054298642162,0.02923400129282283,0.024203069657615112,-0.0017709563164108634
phrd_s8_region_conf_thr0p6_a0p25,0.41008110052131463,0.0010291398950330044,0.292309695929406,0.002578475847691053,0.6564799094510098,0.027908480879616393,0.023022432113341203,-0.0029515938606847723
phrd_s8_pred_agreement_thr0p8_a0p25,0.40996704119405153,0.0009150805677698992,0.29194697454523766,0.0022157544635227344,0.6494671901289596,0.020895761557566228,0.023612750885478158,-0.002361275088547818
phrd_s8_pred_agreement_thr0p7_a0p25,0.40991244361563206,0.0008604829893504307,0.2920971645077887,0.002365944426073796,0.6530039303761564,0.024432501804763085,0.023612750885478158,-0.002361275088547818
phrd_s8_mean_conf_thr0p6_a0p1,0.4098593038233636,0.0008073431970819778,0.2914538324003969,0.001722612318681982,0.644670050761385,0.016098622189991585,0.024793388429752067,-0.001180637544273909
phrd_s4_pred_agreement_thr0p6_a0p5,0.4098484025439871,0.0007964419177054483,0.29275157478554936,0.003020354703834438,0.6541899441340416,0.02561851556264827,0.023022432113341203,-0.0029515938606847723
phrd_s8_mean_conf_thr0p7_a0p25,0.40982887501860005,0.0007769143923184174,0.29123288959132526,0.0015016695096103372,0.6476244343891037,0.0190530058177103,0.023022432113341203,-0.0029515938606847723
phrd_s8_region_entropy_score_thr0p7_a0p25,0.40977959910447953,0.0007276384781979006,0.2913061097760873,0.0015748896943723611,0.6498868778280176,0.021315449256624208,0.023022432113341203,-0.0029515938606847723
phrd_s8_region_entropy_score_thr0p6_a0p1,0.40976278225495466,0.0007108216286730307,0.29122294313474395,0.001491723053029026,0.6429780033840585,0.014406574812665163,0.024793388429752067,-0.001180637544273909
phrd_s8_region_conf_thr0p7_a0p25,0.4097529175251662,0.0007009568988845527,0.29167475789608327,0.0019435378143683457,0.6508474576270818,0.022276029055688484,0.023022432113341203,-0.0029515938606847723
phrd_s4_pred_agreement_thr0p6_a0p25,0.40973051705316976,0.0006785564268881328,0.2916128042061145,0.0018815841243995934,0.6444568868980602,0.01588545832666688,0.024203069657615112,-0.0017709563164108634
phrd_s8_region_conf_thr0p8_a0p25,0.4096983701244829,0.0006464094982012725,0.29026434934402623,0.0005331292623113049,0.6408371040723619,0.012265675500968576,0.023022432113341203,-0.0029515938606847723
phrd_s8_pred_agreement_thr0p6_a0p1,0.4096565119561843,0.0006045513299026695,0.2912769619434088,0.0015457418616938723,0.6431792559187912,0.01460782734739785,0.024793388429752067,-0.001180637544273909
phrd_s8_region_conf_thr0p6_a0p1,0.40964397567661565,0.000592015050334016,0.291119743417254,0.0013885233355390714,0.6424139875916163,0.013842559020222911,0.024793388429752067,-0.001180637544273909
phrd_s8_pred_agreement_thr0p8_a0p5,0.40961852974308516,0.0005665691168035281,0.2926939282386577,0.0029627081569427727,0.6560224089635487,0.027450980392155322,0.023612750885478158,-0.002361275088547818
phrd_s8_region_entropy_score_thr0p8_a0p25,0.409591848727709,0.0005398881014273549,0.290016303102374,0.00028508302065904934,0.6391869000564292,0.010615471485035832,0.023022432113341203,-0.0029515938606847723
phrd_s8_region_conf_thr0p8_a0p1,0.40958015216139765,0.0005281915351160182,0.29058091970957045,0.0008496996278555269,0.6375422773393101,0.008970848767916761,0.024203069657615112,-0.0017709563164108634
phrd_s8_region_entropy_score_thr0p7_a0p1,0.40957558463741456,0.0005236240111329282,0.29081353080821415,0.0010823107264992249,0.6403607666290507,0.011789338057657361,0.024793388429752067,-0.001180637544273909
phrd_s8_mean_conf_thr0p7_a0p1,0.4095520520975516,0.0005000914712699478,0.29059331507533237,0.000862094993617446,0.6381059751972583,0.009534546625864948,0.024793388429752067,-0.001180637544273909
phrd_s4_region_conf_thr0p6_a0p25,0.4095501387462147,0.0004981781199330793,0.29113014263929,0.0013989225575750663,0.642417459429175,0.013846030857781688,0.024203069657615112,-0.0017709563164108634
