domain,variant,mIoU,delta_mIoU,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
val,base,0.7788045117682406,0.0,0.40760331060208643,0.0,0.4377753781779967,0.0
val,point_oracle_top2,0.9203602851825705,0.1415557734143299,0.8599192607544301,0.4523159501523437,0.08810173446071673,-0.34967364371728
val,point_oracle_top5,0.97766172987734,0.1988572181090994,0.9448413074372332,0.5372379968351467,0.02919852296063478,-0.4085768552173619
val,region_logits_s4,0.7694674171424529,-0.00933709462578769,0.39741269766137854,-0.010190612940707888,0.45059823950791067,0.012822861329913948
val,region_majority_oracle_s4,0.9486723052867342,0.16986779351849357,0.8840719785906089,0.4764686679885225,0.06165578812390933,-0.3761195900540874
val,region_oracle_s4_top2,0.9218251496540327,0.1430206378857921,0.8673543728741198,0.45975106227203333,0.08283279181650775,-0.35494258636148895
val,region_oracle_s4_top5,0.9783466434481956,0.19954213167995494,0.9461753554502366,0.5385720448481501,0.028436864280136136,-0.4093385138978606
val,region_logits_s8,0.7446611521196577,-0.03414335964858295,0.37468610935968116,-0.03291720124240527,0.47990763683342813,0.04213225865543141
val,region_majority_oracle_s8,0.8991590208736483,0.12035450910540768,0.801092642203524,0.3934893316014376,0.1101753743214971,-0.3276000038564996
val,region_oracle_s8_top2,0.9210098755611964,0.14220536379295579,0.8677333034973377,0.46012999289525125,0.08657841709971945,-0.35119696107827725
val,region_oracle_s8_top5,0.9780115929344053,0.1992070811661647,0.9455519035490859,0.5379485929469995,0.02913103421679313,-0.4086443439612036
val,region_logits_s16,0.6707726155265668,-0.10803189624167386,0.31370780240352664,-0.0938955081985598,0.5651893059264759,0.12741392774847915
val,region_majority_oracle_s16,0.7924574493520782,0.013652937583837566,0.6665531759410731,0.2589498653389867,0.20197934844438445,-0.23579602973361227
val,region_oracle_s16_top2,0.9200065568502256,0.14120204508198497,0.8671018448177219,0.45949853421563547,0.09212695596841526,-0.3456484222095815
val,region_oracle_s16_top5,0.9769978445987585,0.19819333283051788,0.9422634000864288,0.5346600894843424,0.033937196903230785,-0.40383818127476595
val,region_logits_s32,0.52003927550367,-0.2587652362645706,0.17959116213634105,-0.22801214846574538,0.7340557842674097,0.296280406089413
val,region_majority_oracle_s32,0.6081572547795411,-0.17064725698869954,0.46964734290109617,0.06204403229900973,0.35562229442446563,-0.08215308375353109
val,region_oracle_s32_top2,0.911573894314064,0.13276938254582338,0.8224640413218464,0.41486073071975993,0.1404778203063989,-0.29729755787159784
val,region_oracle_s32_top5,0.9746624384913283,0.19585792672308766,0.9073948230061156,0.4997915124040292,0.06936878742009815,-0.36840659075789856
