class,decoder_iou,decoder_lora_iou,decoder_lora_minus_decoder,decoder_lora_accuracy,decoder_lora_pred_share
wall,0.87925381,0.87547686,-0.00377695,0.94245175,0.31057530
floor,0.95835501,0.95438107,-0.00397394,0.97477852,0.24939956
cabinet,0.73182266,0.72225605,-0.00956661,0.85313041,0.04035436
bed,0.84318598,0.86411350,0.02092752,0.92511158,0.02539950
chair,0.91827702,0.91327926,-0.00499776,0.96126863,0.09024899
sofa,0.79308265,0.81366058,0.02057793,0.90712601,0.02249491
table,0.78964301,0.78887139,-0.00077162,0.85339042,0.03854460
door,0.77147147,0.77610810,0.00463663,0.88409696,0.04563347
window,0.76295415,0.76241462,-0.00053953,0.86493841,0.03858067
bookshelf,0.82615925,0.81217500,-0.01398425,0.90285155,0.03181718
picture,0.42166808,0.42037199,-0.00129609,0.53778888,0.00472400
counter,0.70442583,0.66330010,-0.04112573,0.80419300,0.00627738
desk,0.70963461,0.69877944,-0.01085517,0.82350346,0.01829567
curtain,0.86335268,0.86144624,-0.00190644,0.90881142,0.01765731
refridgerator,0.76465569,0.79426891,0.02961322,0.89650091,0.00637905
shower curtain,0.80546953,0.79387451,-0.01159502,0.85588592,0.00411822
toilet,0.95312245,0.93135893,-0.02176352,0.97364091,0.00322803
sink,0.71991401,0.70094680,-0.01896721,0.77942023,0.00254608
bathtub,0.84806967,0.86413560,0.01606593,0.95290333,0.00283478
otherfurniture,0.71165904,0.70961107,-0.00204797,0.78705174,0.04089094
