target_id,target_name,pred_id,pred_name,count,fraction_of_target
10,picture,10,picture,111595,0.5379575977863692
10,picture,0,wall,87620,0.42238312395753996
10,picture,7,door,5345,0.025766238273830757
10,picture,9,bookshelf,768,0.003702239662170631
10,picture,13,curtain,531,0.0025597516414226627
10,picture,19,otherfurniture,448,0.002159639802932868
10,picture,3,bed,317,0.0015281379855574088
10,picture,12,desk,251,0.0012099767645896203
10,picture,8,window,234,0.001128026147067614
10,picture,1,floor,151,0.0007279143085778193
10,picture,6,table,89,0.0004290355858505028
10,picture,2,cabinet,59,0.0002844168490469625
10,picture,4,chair,34,0.0001639012350440123
11,counter,11,counter,186930,0.843699223686586
11,counter,2,cabinet,19226,0.08677559126196065
11,counter,17,sink,6714,0.03030330384545947
11,counter,0,wall,5814,0.026241198772341576
11,counter,8,window,1018,0.004594692182704459
11,counter,6,table,808,0.003646867665643618
11,counter,14,refridgerator,624,0.0028163928506950713
11,counter,1,floor,173,0.0007808268640548835
11,counter,19,otherfurniture,151,0.0006815309622675574
11,counter,12,desk,86,0.0003881567069868207
11,counter,4,chair,14,6.318830113738942e-05
11,counter,7,door,2,9.026900162484202e-06
12,desk,12,desk,553634,0.8450324575716273
12,desk,6,table,25437,0.03882545259729258
12,desk,0,wall,21110,0.03222098928053019
12,desk,9,bookshelf,16347,0.024951042717613784
12,desk,2,cabinet,14113,0.021541204249934748
12,desk,1,floor,10101,0.015417537315141424
12,desk,4,chair,6923,0.010566836039275723
12,desk,19,otherfurniture,5120,0.007814849129148014
12,desk,3,bed,1233,0.0018819744094217775
12,desk,8,window,620,0.0009463293867327672
12,desk,11,counter,402,0.000613587763655762
12,desk,7,door,71,0.00010836997815810722
12,desk,14,refridgerator,21,3.205309213127115e-05
12,desk,5,sofa,20,3.052675441073443e-05
12,desk,10,picture,11,1.6789714925903937e-05
17,sink,17,sink,83953,0.8191415664120052
17,sink,2,cabinet,8327,0.08124774366029525
17,sink,11,counter,7483,0.07301271355950395
17,sink,0,wall,1729,0.016870103133019152
17,sink,19,otherfurniture,372,0.0036296578169364518
17,sink,8,window,255,0.0024880718906419227
17,sink,15,shower curtain,243,0.0023709861546117143
17,sink,4,chair,75,0.0007317858501888008
17,sink,1,floor,30,0.0002927143400755203
17,sink,7,door,22,0.00021465718272204823
2,cabinet,2,cabinet,1127981,0.8057611463716922
2,cabinet,0,wall,67345,0.048107179467031455
2,cabinet,19,otherfurniture,57382,0.04099021712342711
2,cabinet,9,bookshelf,37507,0.026792723739994785
2,cabinet,11,counter,29252,0.020895852903253458
2,cabinet,14,refridgerator,21680,0.01548687580139939
2,cabinet,1,floor,19590,0.013993906685858582
2,cabinet,12,desk,11325,0.008089892456219931
2,cabinet,17,sink,8438,0.006027594926762365
2,cabinet,8,window,6590,0.004707495919336807
2,cabinet,4,chair,3339,0.0023851788884166314
2,cabinet,10,picture,3201,0.002286600066433554
2,cabinet,6,table,2728,0.001948717582390108
2,cabinet,7,door,1276,0.0009114969336985988
2,cabinet,5,sofa,861,0.0006150461284596345
2,cabinet,3,bed,669,0.00047789298483100516
2,cabinet,13,curtain,612,0.0004371756453162559
2,cabinet,16,toilet,119,8.500637547816086e-05
15,shower curtain,15,shower curtain,126753,0.8011794599514563
15,shower curtain,0,wall,22249,0.14063132079288027
15,shower curtain,18,bathtub,6690,0.042286104368932036
15,shower curtain,13,curtain,1319,0.008337125809061489
15,shower curtain,1,floor,661,0.004178044093851132
15,shower curtain,7,door,221,0.001396895226537217
15,shower curtain,8,window,171,0.0010808555825242718
15,shower curtain,2,cabinet,54,0.0003413228155339806
15,shower curtain,17,sink,47,0.0002970772653721683
15,shower curtain,19,otherfurniture,33,0.00020858616504854368
15,shower curtain,16,toilet,6,3.7924757281553395e-05
15,shower curtain,3,bed,4,2.52831715210356e-05
7,door,7,door,1407626,0.8796612404394225
7,door,0,wall,134810,0.0842461931106974
7,door,8,window,23629,0.014766362265504556
7,door,1,floor,12309,0.0076922067428200755
7,door,19,otherfurniture,9008,0.005629327998970123
7,door,13,curtain,6207,0.0038789119548853857
7,door,2,cabinet,3387,0.00211662232820957
7,door,9,bookshelf,1024,0.0006399236091191614
7,door,4,chair,747,0.000466819273449232
7,door,5,sofa,571,0.00035683240313187615
7,door,15,shower curtain,456,0.00028496598218587656
7,door,18,bathtub,246,0.00015373164828448604
7,door,12,desk,126,7.874060034083432e-05
7,door,16,toilet,37,2.3122239782625948e-05
7,door,6,table,7,4.374477796713018e-06
7,door,14,refridgerator,1,6.24925399530431e-07
