target_id,target_name,top3_class_id,top3_class_name,count,fraction_of_target
10,picture,0,wall,206246,0.9942345330260989
10,picture,1,floor,4514,0.02176029926437269
10,picture,2,cabinet,16940,0.08166138004839907
10,picture,3,bed,8853,0.04267698923072473
10,picture,4,chair,5725,0.027598075606675602
10,picture,5,sofa,1131,0.005452126377493468
10,picture,6,table,2922,0.014085864964664822
10,picture,7,door,66935,0.3226685049314989
10,picture,8,window,42108,0.20298685897744911
10,picture,9,bookshelf,7494,0.03612576045352436
10,picture,10,picture,185051,0.8920613954743977
10,picture,11,counter,76,0.00036636746656896867
10,picture,12,desk,2132,0.010277571562171595
10,picture,13,curtain,5116,0.024662315249563735
10,picture,14,refridgerator,1255,0.006049883822948101
10,picture,15,shower curtain,91,0.0004386768349707388
10,picture,16,toilet,42,0.00020246623152495637
10,picture,17,sink,1,4.820624560118009e-06
10,picture,18,bathtub,1199,0.005779928847581493
10,picture,19,otherfurniture,64495,0.310906181004811
11,counter,0,wall,57572,0.25984834807727025
11,counter,1,floor,50406,0.22750496479508936
11,counter,2,cabinet,191350,0.8636486730456762
11,counter,3,bed,1139,0.005140819642534753
11,counter,4,chair,1572,0.007095143527712584
11,counter,5,sofa,3184,0.014370825058674852
11,counter,6,table,48996,0.221141000180538
11,counter,7,door,323,0.0014578443762411988
11,counter,8,window,9240,0.04170427875067702
11,counter,9,bookshelf,3562,0.016076909189384366
11,counter,10,picture,54,0.00024372630438707348
11,counter,11,counter,216141,0.975541614009749
11,counter,12,desk,8712,0.039321177107781186
11,counter,14,refridgerator,5865,0.026471384726484925
11,counter,16,toilet,10,4.513450081242101e-05
11,counter,17,sink,48975,0.22104621772883193
11,counter,18,bathtub,78,0.0003520491063368839
11,counter,19,otherfurniture,17501,0.07898988987181801
12,desk,0,wall,131678,0.2009850983648344
12,desk,1,floor,84742,0.12934491111372284
12,desk,2,cabinet,231839,0.35386461079151293
12,desk,3,bed,40248,0.061432040576161966
12,desk,4,chair,87930,0.1342108757667939
12,desk,5,sofa,2221,0.0033899960773120584
12,desk,6,table,533532,0.814350016713398
12,desk,7,door,9842,0.015022215845522413
12,desk,8,window,7818,0.011932908299156088
12,desk,9,bookshelf,44105,0.0673191251642721
12,desk,10,picture,395,0.000602903399612005
12,desk,11,counter,55969,0.08542759588071976
12,desk,12,desk,643462,0.9821403223319998
12,desk,13,curtain,55,8.394857462951967e-05
12,desk,14,refridgerator,1171,0.0017873414707485007
12,desk,15,shower curtain,19,2.9000416690197707e-05
12,desk,16,toilet,40,6.105350882146886e-05
12,desk,17,sink,2038,0.0031106762744538383
12,desk,18,bathtub,7,1.068436404375705e-05
12,desk,19,otherfurniture,88378,0.13489467506559435
17,sink,0,wall,46433,0.45305349842422116
17,sink,1,floor,4612,0.044999951214276655
17,sink,2,cabinet,59667,0.5821795509762023
17,sink,3,bed,138,0.0013464859643473933
17,sink,4,chair,9678,0.09442964610836285
17,sink,5,sofa,338,0.0032979148981841953
17,sink,6,table,4828,0.0471074944628204
17,sink,7,door,235,0.002292928997258242
17,sink,8,window,3022,0.029486091190274077
17,sink,9,bookshelf,12,0.00011708573603020812
17,sink,11,counter,63443,0.6190225292470412
17,sink,12,desk,617,0.006020158260886534
17,sink,13,curtain,34,0.00033174291875225634
17,sink,15,shower curtain,362,0.0035320863702446117
17,sink,16,toilet,1916,0.018694689186156563
17,sink,17,sink,97244,0.9488237762101299
17,sink,18,bathtub,1770,0.017270146064455698
17,sink,19,otherfurniture,13118,0.12799422377035585
2,cabinet,0,wall,860511,0.6146968165469553
2,cabinet,1,floor,165615,0.11830530146903875
2,cabinet,2,cabinet,1367788,0.9770647084245604
2,cabinet,3,bed,15162,0.010830812310923319
2,cabinet,4,chair,42547,0.030392993760246304
2,cabinet,5,sofa,13535,0.009668582286528633
2,cabinet,6,table,103924,0.07423699634615454
2,cabinet,7,door,89765,0.06412266634283285
2,cabinet,8,window,120286,0.08592501580475678
2,cabinet,9,bookshelf,216940,0.15496876551455646
2,cabinet,10,picture,11836,0.008454919833273209
2,cabinet,11,counter,178236,0.12732097764475192
2,cabinet,12,desk,143091,0.10221552330710518
2,cabinet,13,curtain,2228,0.0015915479375238858
2,cabinet,14,refridgerator,101267,0.07233899685333543
2,cabinet,15,shower curtain,82,5.8575821758060423e-05
2,cabinet,16,toilet,971,0.0006936234503302033
2,cabinet,17,sink,46421,0.033160344168669795
2,cabinet,18,bathtub,189,0.00013501012575943194
2,cabinet,19,otherfurniture,719291,0.5138178220509395
15,shower curtain,0,wall,121030,0.7650055622977346
15,shower curtain,1,floor,4258,0.026913936084142394
15,shower curtain,2,cabinet,3643,0.023026648462783173
15,shower curtain,3,bed,5554,0.03510568365695793
15,shower curtain,4,chair,1342,0.008482504045307444
15,shower curtain,5,sofa,13,8.21703074433657e-05
15,shower curtain,7,door,17645,0.11153039037216829
15,shower curtain,8,window,997,0.006301830501618123
15,shower curtain,9,bookshelf,55,0.00034764360841423947
15,shower curtain,13,curtain,141486,0.8943037014563107
15,shower curtain,14,refridgerator,20,0.00012641585760517798
15,shower curtain,15,shower curtain,149610,0.945653822815534
15,shower curtain,16,toilet,17,0.00010745347896440129
15,shower curtain,17,sink,205,0.0012957625404530744
15,shower curtain,18,bathtub,26355,0.1665844963592233
15,shower curtain,19,otherfurniture,2394,0.015131978155339806
7,door,0,wall,1526263,0.9538005150635143
7,door,1,floor,256882,0.16053208648217618
7,door,2,cabinet,344533,0.215307422676418
7,door,3,bed,660,0.0004124507636900845
7,door,4,chair,23882,0.014924468391585755
7,door,5,sofa,5435,0.0033964695464478926
7,door,6,table,7748,0.00484192199556178
7,door,7,door,1590385,0.9938719815322046
7,door,8,window,546509,0.34152735517197635
7,door,9,bookshelf,16224,0.010138789681981713
7,door,10,picture,10859,0.006786064913500951
7,door,11,counter,580,0.00036245673172765003
7,door,12,desk,3180,0.001987262770506771
7,door,13,curtain,42765,0.026724934710918885
7,door,14,refridgerator,1717,0.0010729969109937502
7,door,15,shower curtain,2537,0.0015854357386087036
7,door,16,toilet,141,8.811448133379078e-05
7,door,17,sink,176,0.00010998687031735586
7,door,18,bathtub,1206,0.0007536600318336998
7,door,19,otherfurniture,418891,0.2617756255347018
