variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,desk_iou,desk_delta_iou,sink_iou,sink_delta_iou,cabinet_iou,cabinet_delta_iou,shower_curtain_iou,shower_curtain_delta_iou,door_iou,door_delta_iou
base,0.7614627498229656,0.8642337464536454,0.9122313686771855,0.0,0.4014136436395027,0.0,0.6538185761004527,0.0,0.6862122690094286,0.0,0.6826834722504569,0.0,0.6814874560091834,0.0,0.747271859026889,0.0,0.732342119611589,0.0
pair_probe_top2,0.7043031435703309,0.8550793827876019,0.85324606127791,-0.05715960625263472,0.15925594616890795,-0.24215769747059476,0.4895984687826884,-0.16422010731776426,0.565813019644434,-0.12039924936499458,0.6178428965940468,-0.0648405756564101,0.6460238585635307,-0.03546359744565264,0.7499004597939378,0.00262860076704885,0.45272599301716077,-0.27961612659442825
bias_unweighted,0.7465655608349488,0.8708526061655482,0.9010609610297401,-0.01489718898801673,0.3959173074100417,-0.005496336229460996,0.6496554085232429,-0.004163167577209803,0.6713310480065331,-0.014881221002895462,0.6810985404908549,-0.0015849317596019485,0.6721078699661046,-0.009379586043078758,0.7560500955508929,0.00877823652400389,0.6832389766899006,-0.04910314292168838
bias_balanced,0.7055819675100077,0.8919080550825862,0.8823860358171195,-0.0558807823129579,0.2810129306128836,-0.12040071302661909,0.6327587972285741,-0.0210597788718786,0.5898641161144793,-0.09634815289494925,0.5756787729196048,-0.1070046993308521,0.6445869339573391,-0.03690052205184424,0.780996575959632,0.03372471693274304,0.6786323032334932,-0.0537098163780958
oracle_top2,0.9170864623959549,0.9519445727546216,0.9766469792108113,0.15562371257298935,0.8012556953401114,0.3998420517006087,0.8929517260604931,0.23913314996004043,0.8995022365146291,0.21328996750520057,0.8556181741164329,0.17293470186597604,0.8752833014754694,0.19379584546628603,0.8703016226967523,0.12302976366986329,0.9482404796637229,0.21589836005213392
oracle_top3,0.9594827440871923,0.975839413183112,0.9897538684342996,0.19801999426422667,0.8837032721437982,0.48228962850429546,0.9577067252731668,0.3038881491727141,0.9521077077189642,0.2658954387095357,0.9234246211114057,0.24074114886094877,0.9407697762505477,0.25928232024136433,0.9402337858220206,0.19296192679513158,0.9815597838128748,0.24921766420128577
oracle_top5,0.9839499485307643,0.9897217006667447,0.9961688137700748,0.22248719870779876,0.9393806988145021,0.5379670551749994,0.983216865135684,0.3293982890352313,0.986657163092233,0.3004448940828044,0.9656755447941879,0.28299207254373104,0.9744539158044837,0.29296645979530034,0.9836274745126768,0.23635561548578787,0.9955369687650121,0.26319484915342306
oracle_top10,0.9955293943669057,0.9968790778614822,0.9988517059727399,0.2340666445439401,0.9815418285593077,0.580128184919805,0.9957801908166116,0.34196161471615893,0.9982568415920032,0.3120445725825747,0.9872285206938933,0.30454504844343644,0.9870786251341127,0.30559116912492934,0.9989065166550781,0.25163465762818915,0.9994083428038053,0.2670662231922163
oracle_graph_top1,0.8299304454999907,0.9120364143243636,0.9317836928647637,0.06846769567702515,0.9430608351519336,0.5416471915124309,0.8032479651513909,0.14942938905093817,0.7870336140392842,0.10082134502985562,0.8056785143665358,0.12299504211607892,0.716180415354425,0.034692959345241636,0.8885721612289559,0.1413003022020669,0.9096600767389825,0.1773179571273935
oracle_graph_top2,0.9458175238289227,0.9740142628229013,0.9807287433641163,0.18435477400595712,0.9771578897473571,0.5757442461078544,0.9519795811902059,0.2981610050897532,0.9216557766943996,0.23544350768497102,0.956037358238825,0.2733538859883681,0.8921910397889171,0.21070358377973375,0.9735119434690245,0.2262400844421355,0.9722156403517054,0.23987352074011636
