target_id,target_name,pred_id,pred_name,count,fraction_of_target
10,picture,10,picture,112078,0.5402859594489062
10,picture,0,wall,91570,0.4414245909700061
10,picture,7,door,1038,0.0050038082934024935
10,picture,13,curtain,818,0.003943270890176531
10,picture,9,bookshelf,765,0.0036877777884902767
10,picture,3,bed,263,0.0012678242593110363
10,picture,8,window,243,0.001171411768108676
10,picture,19,otherfurniture,203,0.0009785867857039557
10,picture,1,floor,159,0.0007664793050587634
10,picture,12,desk,144,0.0006941699366569933
10,picture,6,table,131,0.0006315018173754591
10,picture,4,chair,16,7.712999296188814e-05
10,picture,2,cabinet,14,6.748874384165212e-05
11,counter,11,counter,185874,0.8389330204007943
11,counter,2,cabinet,20585,0.09290936992236866
11,counter,17,sink,6877,0.031038996208701933
11,counter,0,wall,6110,0.02757717999638924
11,counter,8,window,1178,0.005316844195703195
11,counter,14,refridgerator,611,0.002757717999638924
11,counter,6,table,163,0.0007356923632424625
11,counter,19,otherfurniture,94,0.00042426430763675753
11,counter,1,floor,58,0.0002617801047120419
11,counter,12,desk,6,2.7080700487452607e-05
11,counter,7,door,2,9.026900162484202e-06
11,counter,4,chair,2,9.026900162484202e-06
12,desk,12,desk,548100,0.836585704626177
12,desk,6,table,29734,0.045384125782438875
12,desk,9,bookshelf,20374,0.031097604718215162
12,desk,0,wall,19807,0.030232171230670842
12,desk,2,cabinet,15044,0.02296222466775444
12,desk,1,floor,8991,0.013723302445345663
12,desk,4,chair,6597,0.01006924994238075
12,desk,19,otherfurniture,3646,0.005565027329076887
12,desk,3,bed,1266,0.0019323435541994892
12,desk,8,window,937,0.001430178444142908
12,desk,11,counter,297,0.00045332230299940625
12,desk,10,picture,279,0.00042584822402974527
12,desk,7,door,89,0.0001358440571277682
12,desk,5,sofa,2,3.0526754410734426e-06
17,sink,17,sink,84351,0.8230249099903404
17,sink,2,cabinet,8931,0.08714105904048239
17,sink,11,counter,6650,0.06488501205007367
17,sink,0,wall,1484,0.01447960268906907
17,sink,19,otherfurniture,436,0.004254115075764228
17,sink,8,window,377,0.003678443540282372
17,sink,15,shower curtain,177,0.0017270146064455698
17,sink,6,table,44,0.00042931436544409646
17,sink,7,door,12,0.00011708573603020812
17,sink,1,floor,12,0.00011708573603020812
17,sink,4,chair,11,0.00010732859136102411
17,sink,16,toilet,4,3.902857867673604e-05
2,cabinet,2,cabinet,1182708,0.8448547926808796
2,cabinet,0,wall,59929,0.04280963929437565
2,cabinet,19,otherfurniture,52335,0.03738494672814747
2,cabinet,11,counter,24991,0.017852053189703513
2,cabinet,9,bookshelf,19339,0.01381460752413574
2,cabinet,14,refridgerator,18658,0.013328142467827944
2,cabinet,1,floor,13896,0.009926458770122045
2,cabinet,17,sink,7445,0.005318256012058048
2,cabinet,8,window,5533,0.003952439290089614
2,cabinet,12,desk,5479,0.0039138649684440615
2,cabinet,6,table,2792,0.0019944352969329844
2,cabinet,10,picture,2364,0.0016886980809274982
2,cabinet,4,chair,1484,0.0010600795059629471
2,cabinet,7,door,1403,0.0010022180234946193
2,cabinet,5,sofa,716,0.00051146693144843
2,cabinet,13,curtain,440,0.0003143092874822755
2,cabinet,3,bed,310,0.00022144517981705772
2,cabinet,16,toilet,72,5.1432428860735984e-05
2,cabinet,18,bathtub,1,7.143392897324442e-07
15,shower curtain,15,shower curtain,127798,0.8077846885113269
15,shower curtain,0,wall,23101,0.14601663632686085
15,shower curtain,18,bathtub,4898,0.03095924352750809
15,shower curtain,13,curtain,1304,0.008242313915857604
15,shower curtain,1,floor,581,0.0036723806634304207
15,shower curtain,7,door,268,0.0016939724919093852
15,shower curtain,8,window,184,0.0011630258899676376
15,shower curtain,17,sink,61,0.00038556836569579285
15,shower curtain,16,toilet,6,3.7924757281553395e-05
15,shower curtain,4,chair,4,2.52831715210356e-05
15,shower curtain,2,cabinet,3,1.8962378640776697e-05
7,door,7,door,1434484,0.8964454868200109
7,door,0,wall,126379,0.07897744706725635
7,door,8,window,10314,0.006445480570756866
7,door,1,floor,9413,0.005882422785779947
7,door,19,otherfurniture,8870,0.005543088293834923
7,door,13,curtain,6983,0.004363854064921
7,door,2,cabinet,1399,0.0008742706339430731
7,door,9,bookshelf,746,0.00046619434804970154
7,door,4,chair,507,0.00031683717756192853
7,door,5,sofa,412,0.0002574692646065376
7,door,18,bathtub,291,0.00018185329126335544
7,door,15,shower curtain,212,0.00013248418470045137
7,door,12,desk,108,6.749194314928656e-05
7,door,16,toilet,45,2.8121642978869397e-05
7,door,6,table,27,1.687298578732164e-05
7,door,3,bed,1,6.24925399530431e-07
