target_id,target_name,top3_class_id,top3_class_name,count,fraction_of_target
10,picture,0,wall,206392,0.9949383442118761
10,picture,1,floor,2351,0.011333288340837439
10,picture,2,cabinet,16410,0.07910644903153653
10,picture,3,bed,4359,0.0210131024575544
10,picture,4,chair,12572,0.060604891969803606
10,picture,5,sofa,1614,0.007780488040030466
10,picture,6,table,3057,0.014736649280280753
10,picture,7,door,43495,0.20967306524233278
10,picture,8,window,41970,0.20232161278815283
10,picture,9,bookshelf,3602,0.017363889665545067
10,picture,10,picture,191479,0.9230483701468363
10,picture,11,counter,38,0.00018318373328448433
10,picture,12,desk,2124,0.01023900656569065
10,picture,13,curtain,5456,0.026301327600003855
10,picture,14,refridgerator,26,0.00012533623856306823
10,picture,15,shower curtain,20,9.641249120236018e-05
10,picture,18,bathtub,94,0.00045313870865109284
10,picture,19,otherfurniture,87267,0.4206814434878183
11,counter,0,wall,60739,0.274142444484564
11,counter,1,floor,29559,0.1334130709514353
11,counter,2,cabinet,202412,0.9135764578443762
11,counter,3,bed,2078,0.009378949268821086
11,counter,4,chair,1663,0.007505867485105615
11,counter,5,sofa,1012,0.004567611482217007
11,counter,6,table,60098,0.27124932298248783
11,counter,7,door,478,0.0021574291388337247
11,counter,8,window,10106,0.04561292652103268
11,counter,9,bookshelf,1637,0.00738851778299332
11,counter,10,picture,60,0.0002708070048745261
11,counter,11,counter,217755,0.9828263224408738
11,counter,12,desk,10004,0.04515255461274598
11,counter,14,refridgerator,6777,0.03058765120057772
11,counter,16,toilet,19,8.575555154359993e-05
11,counter,17,sink,49279,0.2224183065535295
11,counter,18,bathtub,10,4.513450081242101e-05
11,counter,19,otherfurniture,10994,0.04962087019317566
12,desk,0,wall,112277,0.17137262024870148
12,desk,1,floor,59054,0.09013634774857554
12,desk,2,cabinet,302209,0.461272996185682
12,desk,3,bed,23298,0.035560616213064535
12,desk,4,chair,90132,0.13757187142741578
12,desk,5,sofa,1931,0.002947358138356409
12,desk,6,table,545513,0.8326370689431485
12,desk,7,door,3925,0.005990875553106631
12,desk,8,window,8725,0.013317296611682895
12,desk,9,bookshelf,46663,0.07122349705340503
12,desk,10,picture,1547,0.002361244453670308
12,desk,11,counter,27299,0.041667493432931954
12,desk,12,desk,643509,0.9822120602048651
12,desk,13,curtain,37,5.647449565985869e-05
12,desk,14,refridgerator,670,0.0010226462727596034
12,desk,15,shower curtain,5,7.631688602683607e-06
12,desk,16,toilet,3,4.579013161610164e-06
12,desk,17,sink,591,0.0009020655928372024
12,desk,18,bathtub,39,5.9527171100932137e-05
12,desk,19,otherfurniture,98062,0.14967572955127198
17,sink,0,wall,38294,0.3736400979617325
17,sink,1,floor,1208,0.011786630760374284
17,sink,2,cabinet,69727,0.6803364263481935
17,sink,3,bed,550,0.005366429568051206
17,sink,4,chair,3782,0.03690152113885393
17,sink,5,sofa,82,0.0008000858628730888
17,sink,6,table,6956,0.06787069831884397
17,sink,7,door,1089,0.010625530544741387
17,sink,8,window,6179,0.060289396910888
17,sink,9,bookshelf,140,0.0013660002536857614
