variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,desk_iou,desk_delta_iou,sink_iou,sink_delta_iou,cabinet_iou,cabinet_delta_iou,shower_curtain_iou,shower_curtain_delta_iou,door_iou,door_delta_iou
base,0.7780185603261016,0.8719586642395247,0.9195347494530122,0.0,0.4139247845949867,0.0,0.6682293220783794,0.0,0.7029572685088994,0.0,0.6905073756937731,0.0,0.708243159244945,0.0,0.7535526020967719,0.0,0.7515904344445504,0.0
pair_probe_top2,0.7203762007515612,0.8596809761526878,0.8646045068798703,-0.05764235957454045,0.15267390937284261,-0.2612508752221441,0.4998992067733046,-0.16833011530507475,0.5929953839873556,-0.10996188452154376,0.6059503312005169,-0.08455704449325618,0.6689392506289016,-0.03930390861604338,0.7564868261541708,0.0029342240573989598,0.47631069871143317,-0.27527973573311726
bias_unweighted,0.7628507375286041,0.8823423871228699,0.9097878507136384,-0.01516782279749751,0.4127157847230056,-0.0012089998719811423,0.6719321334300431,0.003702811351663726,0.6856076877410261,-0.017349580767873296,0.6879554655870439,-0.0025519101067291716,0.7003496573878593,-0.007893501857085705,0.7473161314624726,-0.006236470634299329,0.6993940804294396,-0.0521963540151108
bias_balanced,0.723893244765794,0.8994012934082211,0.8936339495489737,-0.05412531556030764,0.32075958952226913,-0.09316519507271759,0.6388801283457655,-0.02934919373261391,0.6015040907743222,-0.10145317773457718,0.5718458999034536,-0.11866147579031949,0.6744008633858246,-0.03384229585912035,0.7729204891223828,0.019367887025610875,0.695035964621455,-0.05655446982309542
oracle_top2,0.9262893019588494,0.9556062488419845,0.979561135522942,0.14827074163274778,0.8197937363989021,0.40586895180391536,0.9032516014265307,0.23502227934815134,0.9080194429976496,0.2050621744887502,0.8641806839701451,0.17367330827637206,0.8912673375725592,0.1830241783276142,0.8577705270573399,0.10421792496056803,0.9509814283876478,0.19939099394309734
oracle_top3,0.9662620986271595,0.9788942303250258,0.9913495294759178,0.1882435383010579,0.9102919433893193,0.4963671587943326,0.970833314756773,0.30260399267839366,0.9593944047290698,0.2564371362201704,0.9309781049813549,0.24047072928758184,0.9462071687560124,0.23796400951106744,0.9235468240351434,0.16999422193837155,0.9811612092902172,0.2295707748456668
oracle_top5,0.9860349201827516,0.9905752297769235,0.996741288592024,0.20801635985665,0.953388161371213,0.5394633767762262,0.9920109584596871,0.32378163638130775,0.9908053063480589,0.28784803783915947,0.9747325799826739,0.28422520428890086,0.972608580545376,0.26436542130043106,0.9599055263307458,0.2063529242339739,0.994739107174109,0.24314867272955853
oracle_top10,0.9970495962935948,0.9982519831795564,0.9991025068550105,0.21903103596749318,0.9938344211876087,0.579909636592622,0.9991424522255618,0.3309131301471824,0.9997787191961859,0.2968214506872865,0.9983316584875644,0.30782428279379137,0.985022774755452,0.276779615510507,0.9955440381758993,0.24199143607912743,0.9990298982486322,0.24743946380408177
oracle_graph_top1,0.8465150202463647,0.9210281857394247,0.9384081916880145,0.0684964599202631,0.9645484126119551,0.5506236280169684,0.815501959173355,0.14727263709497562,0.8024658611001939,0.09950859259129452,0.8131772336178107,0.12266985792403762,0.7407598869057707,0.032516727660825695,0.9007712419861267,0.1472186398893548,0.92606658297122,0.1744761485266696
oracle_graph_top2,0.9533874608862295,0.9772044249201499,0.98335330394698,0.17536890056012788,0.9811897785608111,0.5672649939658244,0.955313727019788,0.28708440494140863,0.9299567989764949,0.22699953046759547,0.9576923811889693,0.2671850054951962,0.9071656089838377,0.19892244973889273,0.9761974036907948,0.2226448015940229,0.9695561313950156,0.2179656969504652
oracle_graph_top3,0.9803353944072339,0.989961246440919,0.9931194607605451,0.20231683408113232,0.9852145038676342,0.5712897192726475,0.9888944458833087,0.3206651238049293,0.9716846135654005,0.2687273450565011,0.9827062488475675,0.29219887315379445,0.9542859398294751,0.2460427805845301,0.9934379242721371,0.23988532217536518,0.9873868891054896,0.23579645466093913
oracle_graph_top5,0.9931299130047335,0.9963314188984709,0.997448765022343,0.2151113526786319,0.9964109487683352,0.5824861641733485,0.9992648186402299,0.3310354965618505,0.9931561476935229,0.2901988791846235,0.9982055433107716,0.30769816761699853,0.9754478207697203,0.2672046615247753,0.9989074903221319,0.24535488822536,0.9967267999329661,0.24513636548841566
prior_alpha0p25,0.7755074108917053,0.8803854412615694,0.918533496814224,-0.0025111494343963425,0.41197175124793345,-0.001953033347053268,0.6595213640458653,-0.008707958032514118,0.7009141559068631,-0.0020431126020362678,0.6744684985813668,-0.016038877112406258,0.7071992870271302,-0.0010438722178147675,0.7615061536028301,0.007953551506058254,0.7511097259213086,-0.0004807085232417796
prior_alpha0p5,0.7689720888152148,0.8871324779988943,0.9162777381065784,-0.009046471510886778,0.3749525180164032,-0.03897226657858349,0.6446158399874796,-0.02361348209089975,0.6945434854034583,-0.008413783105441053,0.6494073248384437,-0.04110005085532942,0.7031376031826173,-0.005105556062327654,0.7695095279089784,0.015956925812206535,0.7507016386895738,-0.000888795754976579
prior_alpha0p75,0.7576076555384056,0.8913537078824836,0.9118239113042778,-0.020410904787696027,0.29909655539247243,-0.11482822920251429,0.6256874872382606,-0.04254183484011875,0.6830095339295728,-0.019947734579326637,0.6047910153527546,-0.08571636034101848,0.696473835684273,-0.011769323560671952,0.7760986715080254,0.022546069411253478,0.7505444753132576,-0.0010459591312927952
prior_alpha1p0,0.7426896582470298,0.893388855411426,0.9038765695121442,-0.0353289020790718,0.21180672370683967,-0.20211806088814704,0.603843844225496,-0.0643854778528834,0.6683234482380465,-0.03463382027085293,0.5452471973357097,-0.14526017835806337,0.6868255987774072,-0.021417560467537733,0.7790516961647715,0.02549909406799966,0.7499732075876112,-0.0016172268569392134
