class,decoder_iou,linear_iou,lora_iou,lora_minus_linear,lora_minus_decoder,decoder_acc,linear_acc,lora_acc,lora_acc_minus_linear,lora_acc_minus_decoder,decoder_pred_share,linear_pred_share,lora_pred_share
wall,0.87925381,0.86238646,0.86549276,0.00310630,-0.01376105,0.93557450,0.92319411,0.92235124,-0.00084287,-0.01322326,0.30468561,0.30287982,0.30115501
floor,0.95835501,0.94465058,0.94897367,0.00432309,-0.00938134,0.97942938,0.97453696,0.97459184,0.00005488,-0.00483754,0.25071861,0.25190907,0.25076067
cabinet,0.73182266,0.68179776,0.71041304,0.02861528,-0.02140962,0.83374967,0.80637691,0.83072088,0.02434397,-0.00302879,0.03796257,0.03858956,0.03901761
bed,0.84318598,0.84934976,0.86204578,0.01269602,0.01885980,0.88754445,0.90477169,0.92729339,0.02252170,0.03974894,0.02398249,0.02474448,0.02558523
chair,0.91827702,0.89322057,0.90227092,0.00905035,-0.01600610,0.95540250,0.93257638,0.93903515,0.00645877,-0.01636735,0.08864818,0.08693945,0.08721937
sofa,0.79308265,0.76315995,0.78347302,0.02031307,-0.00960963,0.93582807,0.92590745,0.93082787,0.00492042,-0.00500020,0.02455995,0.02507382,0.02462798
table,0.78964301,0.77088496,0.78134011,0.01045515,-0.00830290,0.84906352,0.84181753,0.85268313,0.01086560,0.00361961,0.03809685,0.03848917,0.03890792
door,0.77147147,0.73299515,0.74279471,0.00979956,-0.02867676,0.91286290,0.88223531,0.89959574,0.01736043,-0.01326716,0.04888457,0.04842525,0.04953363
window,0.76295415,0.74785597,0.75832695,0.01047098,-0.00462720,0.86367715,0.86199284,0.86275594,0.00076310,-0.00092121,0.03843719,0.03916747,0.03862138
bookshelf,0.82615925,0.81579720,0.84452964,0.02873244,0.01837039,0.91220889,0.91399061,0.92742769,0.01343708,0.01521880,0.03187574,0.03243996,0.03216494
picture,0.42166808,0.40779856,0.43033021,0.02253165,0.00866213,0.54721802,0.54463898,0.59682224,0.05218326,0.04960422,0.00488506,0.00508876,0.00568724
counter,0.70442583,0.65535533,0.65218049,-0.00317484,-0.05224534,0.82088373,0.84368568,0.83643708,-0.00724860,0.01555335,0.00608968,0.00698410,0.00690941
desk,0.70963461,0.68540840,0.70259575,0.01718735,-0.00703886,0.86760547,0.84379460,0.85717447,0.01337987,-0.01043100,0.01990655,0.01962651,0.01966865
curtain,0.86335268,0.84496663,0.84994567,0.00497904,-0.01340701,0.91919533,0.91087877,0.91630956,0.00543079,-0.00288577,0.01802522,0.01811697,0.01821783
refridgerator,0.76465569,0.72858946,0.75087069,0.02228123,-0.01378500,0.90306282,0.89471822,0.90871100,0.01399278,0.00564818,0.00674526,0.00698583,0.00696211
shower curtain,0.80546953,0.74016027,0.76237211,0.02221184,-0.04309742,0.89266662,0.79342385,0.82143128,0.02800743,-0.07123534,0.00441330,0.00381569,0.00396346
toilet,0.95312245,0.92008329,0.92395918,0.00387589,-0.02916327,0.97796078,0.95640545,0.96534431,0.00893886,-0.01261647,0.00318045,0.00315467,0.00319982
sink,0.71991401,0.68210112,0.68500692,0.00290580,-0.03490709,0.85936052,0.81899521,0.82069295,0.00169774,-0.03866757,0.00300791,0.00291260,0.00290998
bathtub,0.84806967,0.81666803,0.83683424,0.02016621,-0.01123543,0.96617716,0.93502153,0.94723678,0.01221525,-0.01894038,0.00296856,0.00290008,0.00289799
otherfurniture,0.71165904,0.69075423,0.70461836,0.01386413,-0.00704068,0.80692497,0.78243403,0.79375779,0.01132376,-0.01316718,0.04292625,0.04175674,0.04198976
