target_id,target_name,pred_id,pred_name,count,fraction_of_target
10,picture,10,picture,123154,0.5936791970767733
10,picture,0,wall,82068,0.39561901639976477
10,picture,9,bookshelf,756,0.003644392167449215
10,picture,12,desk,488,0.0023524647853375882
10,picture,2,cabinet,281,0.0013545955013931606
10,picture,6,table,240,0.0011569498944283222
10,picture,19,otherfurniture,137,0.0006604255647361672
10,picture,3,bed,100,0.00048206245601180086
10,picture,8,window,80,0.00038564996480944073
10,picture,1,floor,74,0.00035672621744873266
10,picture,7,door,64,0.00030851997184755257
11,counter,11,counter,182807,0.8250902690016249
11,counter,2,cabinet,15419,0.06959288680267196
11,counter,0,wall,7004,0.03161220436901968
11,counter,6,table,6890,0.03109767105975808
11,counter,17,sink,6641,0.029973821989528797
11,counter,5,sofa,1374,0.006201480411626647
11,counter,8,window,560,0.002527532045495577
11,counter,14,refridgerator,493,0.002225130890052356
11,counter,1,floor,210,0.0009478245170608413
11,counter,12,desk,112,0.0005055064090991153
11,counter,19,otherfurniture,50,0.00022567250406210507
7,door,7,door,1406808,0.8791500514626066
7,door,0,wall,136793,0.08548542017796626
7,door,8,window,30161,0.01884837497523733
7,door,1,floor,14122,0.008825196492168747
7,door,19,otherfurniture,6254,0.003908283448663316
7,door,2,cabinet,2434,0.001521068422457069
7,door,13,curtain,2058,0.001286096472233627
7,door,4,chair,588,0.00036745613492389346
7,door,9,bookshelf,233,0.00014560761809059045
7,door,5,sofa,224,0.00013998328949481656
7,door,18,bathtub,223,0.00013935836409528614
7,door,14,refridgerator,173,0.00010811209411876458
7,door,6,table,68,4.249492716806931e-05
7,door,15,shower curtain,33,2.0622538184504225e-05
7,door,12,desk,8,4.999403196243448e-06
7,door,10,picture,7,4.374477796713018e-06
7,door,16,toilet,4,2.499701598121724e-06
