variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,door_iou,door_delta_iou
base,0.7972023880049288,0.8775319270280775,0.9274154544066626,0.0,0.43383484868233313,0.0,0.7039404523067797,0.0,0.7691623843023533,0.0
pair_probe_top2,0.7879295860961167,0.8807225864954351,0.9223592484211863,-0.009272801908812078,0.34480897074020933,-0.0890258779421238,0.6617148462210973,-0.04222560608568238,0.7399850390705739,-0.029177345231779395
bias_unweighted,0.7871065987912758,0.888267839468971,0.9194904363734688,-0.010095789213653061,0.42287701785240556,-0.010957830829927573,0.7018163186111432,-0.0021241336956364654,0.7520094742131894,-0.017152910089163864
bias_balanced,0.7726254133170072,0.8961609880239342,0.9150957494169486,-0.024576974687921638,0.3521155857402935,-0.08171926294203963,0.670859115297653,-0.03308133700912674,0.7507209236065707,-0.018441460695782563
oracle_top2,0.9164823554931999,0.9476457902768536,0.974888168000862,0.11927996748827108,0.8304210007278872,0.39658615204555403,0.8703915958565295,0.16645114354974977,0.9380616940778655,0.16889930977551226
oracle_top3,0.95019652189036,0.968400422332637,0.9849988799102725,0.15299413388543115,0.9063730093238099,0.4725381606414768,0.9266659250194679,0.22272547271268817,0.975782750204421,0.20662036590206767
oracle_top5,0.9743507283547087,0.9830688054763662,0.9923943427079929,0.1771483403497799,0.9567434163326601,0.522908567650327,0.9603762904660499,0.2564358381592702,0.9914696016328216,0.22230721733046832
oracle_top10,0.9933868555970087,0.995136749267609,0.9983298985587212,0.19618446759207986,0.9891433956458185,0.5553085469634854,0.9885278798674209,0.28458742756064115,0.9994845570158037,0.23032217271345046
oracle_graph_top1,0.8412349456559806,0.906906818458865,0.9412582194491834,0.04403255765105174,0.969482525675305,0.5356476769929719,0.8289396651221916,0.12499921281541193,0.930244372796577,0.16108198849422373
oracle_graph_top2,0.9320244712349511,0.9592900743655377,0.978070961906526,0.13482208323002232,0.9795269114046113,0.5456920627222782,0.9398626342016052,0.2359221818948255,0.9738393961300361,0.20467701182768283
oracle_graph_top3,0.9573510584932515,0.9741879269411114,0.9861972839482364,0.1601486704883227,0.9850900817456808,0.5512552330633477,0.9553938386762442,0.25145338636946446,0.9862674548736685,0.21710507057131523
oracle_graph_top5,0.9774446640402358,0.9856302956005749,0.9928826226788098,0.18024227603530696,0.9922082021945219,0.5583733535121888,0.971796047132418,0.26785559482563825,0.9950084457148259,0.22584606141247265
prior_alpha0p25,0.7966355816716454,0.8801744463200449,0.9272751853944982,-0.0005668063332834317,0.427143479038501,-0.006691369643832157,0.7039374916009136,-2.9607058661396124e-06,0.7693337804446424,0.00017139614228911526
prior_alpha0p5,0.7955784317187259,0.8826217157325023,0.9269982147124217,-0.0016239562862029322,0.41552381257406384,-0.018311036108269285,0.7031039446282001,-0.0008365076785795678,0.7695567162561457,0.00039433195379245944
prior_alpha0p75,0.7938929729613918,0.8847975669052106,0.9265357701030744,-0.0033094150435369896,0.3968461446216571,-0.036988704060676,0.701676199342951,-0.0022642529638287057,0.769824053988913,0.0006616696865596738
prior_alpha1p0,0.7914460620028588,0.8866783476436687,0.9257932612570411,-0.005756326002069989,0.3698247773314944,-0.06401007135083875,0.7003131051432178,-0.0036273471635619448,0.7700340352894809,0.0008716509871276035
