pair,positive_class,negative_class,stage,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
picture_vs_wall,picture,wall,point_feature,unweighted,0.7175250202417374,0.0010664851121879526,0.7154014587402344,0.7198970761150122,0.8286077976226807,0.0012440976294468813,0.826378408074379,0.8309866905212402,0.44495001435279846,0.9901000261306763,0.7175250053405762,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,point_feature,balanced,0.7175333350896835,0.0010958545687629472,0.71540542319417,0.7195377122610808,0.8287107348442078,0.0012539363807546223,0.8260452955961227,0.8309425681829452,0.4449833333492279,0.9900833368301392,0.7175333499908447,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,point_feature,weighted,0.7175250202417374,0.0010446923090260435,0.7161058373749256,0.7197958391159773,0.8286077976226807,0.0012602665617211597,0.8262409120798111,0.8311992555856704,0.44495001435279846,0.9901000261306763,0.7175250053405762,60000,60000,60000,60000,120000,1.0
picture_vs_wall,picture,wall,linear_logits,unweighted,0.7206249982118607,0.0010345238670434436,0.7189122885465622,0.7226833213120699,0.8567655086517334,0.0010271579767709943,0.8548853620886803,0.8588792622089386,0.452266663312912,0.9889833331108093,0.7206249833106995,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,linear_logits,balanced,0.7205333262681961,0.0009537533636069485,0.7186114583164454,0.7222893733531237,0.8562910556793213,0.0008736112272033259,0.8549434870481492,0.8582412123680114,0.452016681432724,0.9890499711036682,0.7205333113670349,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,linear_logits,weighted,0.7206249982118607,0.0011428422848444413,0.7184549983590841,0.7231731157749891,0.8567655086517334,0.0011751610476721309,0.8549821615219116,0.8595825672149658,0.452266663312912,0.9889833331108093,0.7206249833106995,60000,60000,60000,60000,120000,1.0
picture_vs_wall,picture,wall,linear_logits,direct_pair_margin,0.7051833271980286,0.0009677285133312735,0.7034070733934641,0.7072389554232359,0.8271022439002991,0.0012179935980617424,0.8248130783438683,0.8294212818145752,0.41119998693466187,0.9991666674613953,0.7051833271980286,60000,60000,60000,60000,0,
door_vs_wall,door,wall,point_feature,unweighted,0.9547916650772095,0.0006202670202571813,0.9537618614733219,0.9561839625239372,0.9890044331550598,0.00030935285229506427,0.9883605137467384,0.9895410627126694,0.9153333306312561,0.9942499995231628,0.9547916650772095,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,point_feature,balanced,0.9547750055789948,0.0005630834276909352,0.953660823404789,0.9557504199445248,0.9890051484107971,0.0003074475126905749,0.9884868681430816,0.9895609304308891,0.9153000116348267,0.9942499995231628,0.9547749757766724,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,point_feature,weighted,0.9547916650772095,0.0005891596720505163,0.9535454131662846,0.9557008288800717,0.9890044331550598,0.00026220750232353827,0.9884285718202591,0.989471572637558,0.9153333306312561,0.9942499995231628,0.9547916650772095,60000,60000,60000,60000,120000,1.0
