pair,positive_class,negative_class,stage,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
picture_vs_wall,picture,wall,point_feature,unweighted,0.703983336687088,0.0014653420868651426,0.7012112513184547,0.7066779091954232,0.7753212451934814,0.0015292820903212586,0.7725223854184151,0.7786403506994247,0.6500666737556458,0.7578999996185303,0.7039833068847656,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,point_feature,balanced,0.7040500044822693,0.001448336504508624,0.7014629147946835,0.7069710493087769,0.7753373384475708,0.0014573914778104227,0.7726564452052116,0.7784248635172843,0.6500666737556458,0.7580333352088928,0.7040500044822693,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,point_feature,weighted,0.703983336687088,0.0011988298187147741,0.7017956338822842,0.7065560229122638,0.7753212451934814,0.0012851023213610116,0.7731128364801407,0.7778839871287346,0.6500666737556458,0.7578999996185303,0.7039833068847656,60000,60000,60000,60000,120000,1.0
picture_vs_wall,picture,wall,linear_logits,unweighted,0.7602083384990692,0.0010870323325058136,0.7578320935368538,0.7624931260943413,0.8830503225326538,0.0009263825664371326,0.8811825707554817,0.8849387258291245,0.5783166885375977,0.9420999884605408,0.7602083086967468,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,linear_logits,balanced,0.760200023651123,0.000989635549009764,0.7586554177105427,0.7619964621961117,0.8830264210700989,0.0008112525394235696,0.8814997211098671,0.8845981866121292,0.5783166885375977,0.9420833587646484,0.760200023651123,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,linear_logits,weighted,0.7602083384990692,0.0010854795561660538,0.7580935388803482,0.7621185250580311,0.8830503225326538,0.0008741620131144045,0.8818039819598198,0.8848244160413742,0.5783166885375977,0.9420999884605408,0.7602083086967468,60000,60000,60000,60000,120000,1.0
picture_vs_wall,picture,wall,linear_logits,direct_pair_margin,0.6986833214759827,0.0009340719295661917,0.6969756238162518,0.700576251372695,0.9245190620422363,0.000703689014585909,0.9232102647423744,0.925741657614708,0.397683322429657,0.9996833205223083,0.6986833214759827,60000,60000,60000,60000,0,
counter_vs_cabinet,counter,cabinet,point_feature,unweighted,0.9276817440986633,0.0007122635303815439,0.9262232206761837,0.9288192354142666,0.9757445454597473,0.00041111225100873413,0.9749666377902031,0.97644112855196,0.9404134750366211,0.9149500131607056,0.9273263216018677,60000,60000,56741,60000,120000,
counter_vs_cabinet,counter,cabinet,point_feature,balanced,0.9276483952999115,0.000735630926846956,0.9261383809149265,0.9291359774768353,0.9757379293441772,0.0004266468178854362,0.9749390751123428,0.9765410184860229,0.9404134750366211,0.9148833155632019,0.9272920489311218,60000,60000,56741,60000,120000,
counter_vs_cabinet,counter,cabinet,point_feature,weighted,0.9276817440986633,0.0007843722729114764,0.9262721307575703,0.929100664705038,0.9757445454597473,0.00044940316442627025,0.9749791875481606,0.9766749262809753,0.9404134750366211,0.9149500131607056,0.9273263216018677,60000,60000,56741,60000,120000,1.0
