condition,acc,macro_acc_present,delta_macro_vs_clean,train_samples,val_samples,picture_acc,wall_acc,door_acc,cabinet_acc
clean,0.6207253932952881,0.5364361837506294,0.0,5689,2895,0.5454545617103577,0.6277056336402893,0.6729559302330017,0.5392156839370728
random_keep80,0.6161825656890869,0.5465520996600389,0.010115915909409523,5682,2892,0.6612902879714966,0.6594516634941101,0.4654088020324707,0.5490196347236633
random_keep50,0.6090750694274902,0.5359242141246796,-0.000511969625949793,5656,2865,0.65625,0.645255446434021,0.3918918967247009,0.5445544719696045
random_keep20,0.5589030385017395,0.5084147322922945,-0.0280214514583349,5117,2589,0.8205128312110901,0.6217948794364929,0.3719007968902588,0.37634408473968506
random_keep10,0.5601464509963989,0.5411887288093566,0.004752545058727242,3427,1912,0.3076923191547394,0.6208425760269165,0.3636363744735718,0.4492753744125366
structured_keep80,0.6175832152366638,0.5634505681693553,0.027014384418725945,5490,2764,0.8333333730697632,0.678518533706665,0.4109588861465454,0.6458333730697632
structured_keep50,0.597309410572052,0.49453050047159197,-0.04190568327903743,4533,2230,0.3333333432674408,0.7116040587425232,0.3444444537162781,0.560606062412262
structured_keep20,0.5882352590560913,0.41946814126438564,-0.11696804248624376,2436,1122,0.4166666865348816,0.7515528202056885,0.4464285969734192,0.7222222089767456
structured_keep10,0.5644105076789856,0.46650959433693634,-0.06992658941369306,1507,916,0.8333333134651184,0.6527330875396729,0.07692307978868484,0.4583333432674408
instance_keep20,0.5200517773628235,0.44665268146329457,-0.08978350228733484,1337,773,0.6666666865348816,0.5969387888908386,0.25,0.5135135054588318
