variant,group_mode,clean_class_iou,delta_clean_vs_fps,random_keep20_class_iou,structured_keep20_class_iou,part_drop_largest_class_iou,part_keep20_per_part_class_iou,xyz_zero_class_iou,random20_damage,structured20_damage,part_drop_damage
PointGPT-S official,fps_knn,0.8335479052878281,0.0,0.686895022748216,0.6456462881926051,0.4940443674720035,0.6931591625926751,0.2584956695473263,0.14665288253961206,0.18790161709522302,0.3395035378158246
PointGPT-S official,radius_fps,0.8314455755042481,-0.002102329783579937,0.6933357902948789,0.6416620480142431,0.4955098951922181,0.6879934318330747,0.25878219610296127,0.13810978520936923,0.18978352749000504,0.33593568031203
PointGPT-S official,random_center_knn,0.8048795375906178,-0.028668367697210262,0.6588161097440259,0.6355500620578767,0.48180108986599174,0.657358722344991,0.2588045884391224,0.14606342784659188,0.16932947553274114,0.32307844772462607
PointGPT-S official,random_group,0.4260634035567042,-0.4074845017311239,0.4282127000319571,0.5935035625242077,0.32575962917268186,0.4321985342033454,0.25826434652536134,-0.0021492964752529153,-0.16744015896750347,0.10030377438402233
PointGPT-S official,voxel_center_knn,0.8256848121732221,-0.007863093114605979,0.6780681918825364,0.6321404399433874,0.47935367259950673,0.6863046002881155,0.2583371770134056,0.14761662029068567,0.19354437222983467,0.34633113957371536
PointGPT-S no-mask,fps_knn,0.8287059057878794,0.0,0.6956700966875026,0.665107904483537,0.48046441951221164,0.7012374452519325,0.23232623216486573,0.13303580910037682,0.16359800130434243,0.34824148627566776
PointGPT-S no-mask,radius_fps,0.8307833103958149,0.0020774046079354846,0.6987287605311892,0.6599627107910064,0.47681349944411067,0.6929253269638882,0.2326905472921543,0.13205454986462573,0.17082059960480844,0.3539698109517042
PointGPT-S no-mask,random_center_knn,0.8026569480336824,-0.026048957754197022,0.668902528809604,0.6505359062480218,0.4655684443240685,0.6722199613603762,0.2327885136891713,0.13375441922407838,0.15212104178566055,0.33708850370961385
PointGPT-S no-mask,random_group,0.44346264060084206,-0.38524326518703733,0.4360501352944379,0.5970375027794899,0.3991597249329353,0.43845479308739255,0.23216478589332523,0.007412505306404138,-0.1535748621786478,0.044302915667906784
PointGPT-S no-mask,voxel_center_knn,0.8186431390708969,-0.010062766716982474,0.6898086120994991,0.641428153936641,0.4743901627082099,0.6923062815355752,0.23231855339503452,0.12883452697139786,0.17721498513425593,0.34425297636268704
