target_id,target_name,top3_class_id,top3_class_name,count,fraction_of_target
10,picture,0,wall,198895,0.9587981218846714
10,picture,1,floor,28476,0.13727210497392042
10,picture,2,cabinet,64063,0.30882367119484
10,picture,3,bed,2202,0.010615015281379855
10,picture,4,chair,56507,0.27239903201858834
10,picture,5,sofa,1027,0.004950781423241195
10,picture,6,table,3267,0.015748980437905534
10,picture,7,door,72075,0.3474465151705055
10,picture,8,window,28460,0.13719497498095853
10,picture,9,bookshelf,6559,0.03161847648981402
10,picture,10,picture,141358,0.6814338465691615
10,picture,11,counter,162,0.0007809411787391174
10,picture,12,desk,1170,0.00564013073533807
10,picture,13,curtain,1407,0.006782618756086038
10,picture,14,refridgerator,51,0.00024585185256601844
10,picture,15,shower curtain,184,0.0008869949190617137
10,picture,16,toilet,42,0.00020246623152495637
10,picture,17,sink,119,0.0005736543226540431
10,picture,18,bathtub,52,0.00025067247712613647
10,picture,19,otherfurniture,16250,0.07833514910191765
11,counter,0,wall,71972,0.32484202924715655
11,counter,1,floor,31629,0.14275591261960643
11,counter,2,cabinet,178541,0.805835890955046
11,counter,3,bed,271,0.0012231449720166096
11,counter,4,chair,4032,0.018198230727568154
11,counter,5,sofa,15728,0.07098754287777577
11,counter,6,table,63844,0.2881567069868207
11,counter,7,door,131,0.0005912619606427153
11,counter,8,window,12826,0.057889510742011194
11,counter,9,bookshelf,11520,0.05199494493590901
11,counter,10,picture,23,0.00010380935186856833
11,counter,11,counter,202039,0.9118929409640729
11,counter,12,desk,7391,0.03335890955046037
11,counter,13,curtain,487,0.0021980501895649033
11,counter,14,refridgerator,3003,0.01355389059397003
11,counter,15,shower curtain,42,0.00018956490341216826
11,counter,16,toilet,3274,0.01477703556598664
11,counter,17,sink,46204,0.20853944755371007
11,counter,18,bathtub,83,0.0003746163567430944
11,counter,19,otherfurniture,11640,0.05253655894565806
7,door,0,wall,1194562,0.7465121351138708
7,door,1,floor,341109,0.2131676781084258
7,door,2,cabinet,409096,0.25565448124630125
7,door,3,bed,6025,0.0037651755321708473
7,door,4,chair,6485,0.004052641215954845
7,door,5,sofa,5096,0.0031846198360070766
7,door,6,table,2061,0.0012879712484322183
7,door,7,door,1567961,0.9798586543731342
7,door,8,window,898568,0.5615379664052603
7,door,9,bookshelf,20556,0.012845966512747541
7,door,10,picture,10779,0.006736070881538516
7,door,11,counter,17,1.0623731792017328e-05
7,door,12,desk,127383,0.0796048721683849
7,door,13,curtain,7301,0.004562580341971677
7,door,14,refridgerator,34239,0.021396820754522428
7,door,15,shower curtain,10455,0.006533595052090657
7,door,16,toilet,4034,0.0025209490617057588
7,door,17,sink,366,0.00022872269622813777
7,door,18,bathtub,14523,0.00907579157738045
7,door,19,otherfurniture,139957,0.08746268414208054
