variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,door_iou,door_delta_iou
base,0.7770051316288956,0.852965011936262,0.9200442941280376,0.0,0.3508032657361073,0.0,0.7105525499730087,0.0,0.7361370364239949,0.0
pair_probe_top2,0.7714149012893191,0.8594084240343676,0.9151870232128633,-0.005590230339576507,0.3061835078830539,-0.04461975785305344,0.6900090383964468,-0.020543511576561868,0.7102760500440543,-0.02586098637994061
bias_unweighted,0.773296733254958,0.8675235173582463,0.9160301701282242,-0.0037083983739376603,0.3608831812872201,0.010079915551112761,0.7129962582749686,0.002443708301959946,0.7301791734930436,-0.005957862930951241
bias_balanced,0.7579134645758834,0.8799325915612416,0.9120751023646072,-0.01909166705301224,0.32124968233278395,-0.02955358340332337,0.6990857867830886,-0.011466763189920015,0.7307358437738418,-0.005401192650153042
oracle_top2,0.8856394255985665,0.9212364026566107,0.9672222560686206,0.10863429396967084,0.6002667188913444,0.2494634531552371,0.8512101910828023,0.14065764110979362,0.9072739446912371,0.17113690826724226
oracle_top3,0.9205076873145248,0.9433279731508325,0.9781089485275433,0.1435025556856292,0.6741059719500038,0.32330270621389645,0.8943894535538475,0.18383690358083882,0.9552338736306247,0.21909683720662987
oracle_top5,0.9519213853129849,0.9645974551247638,0.9875808832148576,0.17491625368408925,0.7699757521156995,0.41917248637959215,0.925560457772502,0.2150079077994933,0.9813046193991705,0.2451675829751756
oracle_top10,0.9884328019165396,0.9919067267989001,0.9974456157280107,0.21142767028764398,0.9413444819597432,0.5905412162236359,0.9895656645855133,0.27901311461250466,0.9973035268621718,0.26116649043817697
oracle_graph_top1,0.8255715481834937,0.8916722156714153,0.9341143378898513,0.048566416554598035,0.9672441720580849,0.6164409063219776,0.848910182873338,0.13835763290032932,0.895435491935159,0.15929845551116417
oracle_graph_top2,0.9153974499702574,0.9464612411666564,0.9728884218395591,0.1383923183413618,0.9824406247771196,0.6316373590410123,0.942883178582961,0.23233062860995235,0.9621483014108454,0.22601126498685054
oracle_graph_top3,0.9421970849550488,0.9629707492104826,0.9813890918588958,0.16519195332615322,0.9877755166384816,0.6369722509023743,0.9577933817522774,0.2472408317792687,0.9761742815220055,0.2400372450980106
oracle_graph_top5,0.9663349332893839,0.9779461592673393,0.9895192878113335,0.1893298016604883,0.9924300571823307,0.6416267914462234,0.9668040838529557,0.25625153387994704,0.9883131519209928,0.2521761154969979
prior_alpha0p25,0.7771735578057677,0.8560464758009937,0.9202541820538493,0.00016842617687207184,0.3538966434031238,0.003093377667016506,0.7120831106780244,0.0015305607050157821,0.7363027772616484,0.00016574083765352743
prior_alpha0p5,0.7769162986024717,0.8591104002283778,0.920383498210504,-8.883302642392898e-05,0.35652180285281915,0.00571853711671183,0.713247707571965,0.0026951575989563326,0.7364506838350748,0.00031364741107997585
prior_alpha0p75,0.7764302748673342,0.8624212752171567,0.9204120926882471,-0.0005748567615614375,0.3595990905033507,0.008795824767243388,0.7148336347267733,0.004281084753764652,0.7365824844465714,0.00044544802257651117
prior_alpha1p0,0.77533682210425,0.8659980755616232,0.9202222153228832,-0.0016683095246455837,0.3587731200927437,0.007969854356636386,0.7155252991026917,0.004972749129683041,0.7367318630629448,0.0005948266389499413
