pair,positive_class,negative_class,stage,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
picture_vs_wall,picture,wall,point_feature,unweighted,0.6742416620254517,0.0009734890739400864,0.672593529894948,0.6762549951672554,0.7756468057632446,0.001524375974623655,0.7731857731938362,0.7788536429405213,0.34906667470932007,0.9994166493415833,0.6742416620254517,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,point_feature,balanced,0.6742416769266129,0.0010576160080052281,0.6722391724586487,0.6764139626175165,0.7756951451301575,0.0013071437054854322,0.7729251131415367,0.7780934944748878,0.3490833342075348,0.9994000196456909,0.6742416620254517,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,point_feature,weighted,0.6742416620254517,0.0009914751415283946,0.6729539562016725,0.6764052085578441,0.7756468057632446,0.00145275743816611,0.7733131408691406,0.7786767140030861,0.34906667470932007,0.9994166493415833,0.6742416620254517,60000,60000,60000,60000,120000,1.0
picture_vs_wall,picture,wall,linear_logits,unweighted,0.6733833253383636,0.0009663421406880717,0.6716014552861452,0.6753924999386072,0.7941487431526184,0.0011686375687309319,0.7920877128839493,0.7962039172649383,0.34726667404174805,0.9994999766349792,0.673383355140686,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,linear_logits,balanced,0.6733999848365784,0.0009394832606555157,0.6717864517122507,0.6753977067768574,0.7941846251487732,0.001378486428639495,0.7913686290383339,0.7968447476625442,0.3472999930381775,0.9994999766349792,0.6733999848365784,60000,60000,60000,60000,120000,
picture_vs_wall,picture,wall,linear_logits,weighted,0.6733833253383636,0.0010757059145955253,0.6715764440596104,0.6754302069544792,0.7941487431526184,0.0013342540561095916,0.7922127708792687,0.7968992397189141,0.34726667404174805,0.9994999766349792,0.673383355140686,60000,60000,60000,60000,120000,1.0
picture_vs_wall,picture,wall,linear_logits,direct_pair_margin,0.648458331823349,0.0007878585401702188,0.6470799937844276,0.6497700020670891,0.7222450375556946,0.0013210058375984623,0.7192302867770195,0.7246941223740577,0.296916663646698,1.0,0.6484583616256714,60000,60000,60000,60000,0,
door_vs_wall,door,wall,point_feature,unweighted,0.9550333321094513,0.0005856624361504311,0.9539899997413158,0.956192909181118,0.9854272603988647,0.00031958201825091494,0.9849291473627091,0.9860294714570046,0.9346333146095276,0.975433349609375,0.9550333619117737,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,point_feature,balanced,0.9550333321094513,0.0006201778949675607,0.9538045726716519,0.9561964556574821,0.9854220151901245,0.0003253697894829195,0.9847970381379128,0.9860116347670556,0.9346333146095276,0.975433349609375,0.9550333619117737,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,point_feature,weighted,0.9550333321094513,0.0006244346548005746,0.953761875629425,0.9562893636524677,0.9854272603988647,0.0002952335553300576,0.98492910861969,0.98596992790699,0.9346333146095276,0.975433349609375,0.9550333619117737,60000,60000,60000,60000,120000,1.0
door_vs_wall,door,wall,linear_logits,unweighted,0.9597833156585693,0.0006076169996674871,0.9584239639341832,0.9607410229742527,0.9870753288269043,0.0002848354169135605,0.9865479201078415,0.9876082852482796,0.9416499733924866,0.9779166579246521,0.9597833156585693,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,linear_logits,balanced,0.9597499966621399,0.0005425169255048232,0.9587872922420502,0.9607666730880737,0.9870737791061401,0.0002785145245019425,0.9866049453616142,0.9876489773392677,0.9416499733924866,0.9778500199317932,0.9597499966621399,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,linear_logits,weighted,0.9597833156585693,0.0005045536594649688,0.9589974910020829,0.9606437355279922,0.9870753288269043,0.00026520112584311475,0.9865816250443459,0.9876347988843918,0.9416499733924866,0.9779166579246521,0.9597833156585693,60000,60000,60000,60000,120000,1.0
door_vs_wall,door,wall,linear_logits,direct_pair_margin,0.9444833397865295,0.0006828224247475029,0.9430347867310047,0.9456302210688591,0.983858585357666,0.00036971111920104427,0.9831832110881805,0.9844826698303223,0.8924333453178406,0.9965333342552185,0.9444833397865295,60000,60000,60000,60000,0,
counter_vs_cabinet,counter,cabinet,point_feature,unweighted,0.95761838555336,0.0005311562433148489,0.9565553702414036,0.9584251828491688,0.9744446277618408,0.0005128598134910617,0.9734239280223846,0.9752849280834198,0.9211701154708862,0.9940666556358337,0.9586557745933533,60000,60000,56679,60000,120000,
counter_vs_cabinet,counter,cabinet,point_feature,balanced,0.95761838555336,0.0005621108705798701,0.9566365659236908,0.9588230587542057,0.974445104598999,0.0005188619236375958,0.973625436425209,0.9755510970950126,0.9211701154708862,0.9940666556358337,0.9586557745933533,60000,60000,56679,60000,120000,
counter_vs_cabinet,counter,cabinet,point_feature,weighted,0.95761838555336,0.0005952702873813051,0.9564882136881352,0.9587014883756637,0.9744446277618408,0.000517513938889334,0.9734999880194664,0.9753123357892036,0.9211701154708862,0.9940666556358337,0.9586557745933533,60000,60000,56679,60000,120000,1.0
counter_vs_cabinet,counter,cabinet,linear_logits,unweighted,0.9595606327056885,0.0005804798272927774,0.9583075061440468,0.9604989439249039,0.9679282903671265,0.0006365555642934203,0.9664602056145668,0.969031834602356,0.9248046278953552,0.9943166375160217,0.9605498909950256,60000,60000,56679,60000,120000,
counter_vs_cabinet,counter,cabinet,linear_logits,balanced,0.9595694541931152,0.0005179792386123801,0.9585776589810848,0.9604978501796723,0.9679171442985535,0.0006396843421461894,0.9665099576115608,0.96890539675951,0.9248222708702087,0.9943166375160217,0.9605584740638733,60000,60000,56679,60000,120000,
counter_vs_cabinet,counter,cabinet,linear_logits,weighted,0.9595606327056885,0.0005632129520703587,0.9585190869867801,0.9606945581734181,0.9679282903671265,0.0006314468290235059,0.9668670758605004,0.9692093327641487,0.9248046278953552,0.9943166375160217,0.9605498909950256,60000,60000,56679,60000,120000,1.0
counter_vs_cabinet,counter,cabinet,linear_logits,direct_pair_margin,0.9468729496002197,0.0006561258039541584,0.9453447505831718,0.9479445137083531,0.9845982789993286,0.00041614256662077573,0.9837293237447738,0.9853837296366692,0.8972458839416504,0.9965000152587891,0.9482854604721069,60000,60000,56679,60000,0,
