variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
tau0p25_bias,0.71065621,0.00170223,0.81203501,0.88996516,0.60279769,-0.00116588,0.35062441,-0.00732655,0.51842925,0.04138024,0.62821484,0.60384551,0.65174910,0.61789833,0.65220808,0.71504357
tau0p25_nobias,0.71049332,0.00153934,0.82251468,0.88894209,0.60368519,-0.00027838,0.35790222,-0.00004874,0.46417312,-0.01287589,0.62959754,0.59850934,0.65273945,0.61513994,0.65166281,0.72024503
base_head,0.70895397,0.00000000,0.82146615,0.88959485,0.60396357,0.00000000,0.35795096,0.00000000,0.47704901,0.00000000,0.62875358,0.60391706,0.64996552,0.61090967,0.65166251,0.72458570
tau0p5_nobias,0.70754440,-0.00140957,0.81354396,0.88712193,0.59722282,-0.00674076,0.35543556,-0.00251540,0.48320494,0.00615594,0.62110246,0.59477530,0.64044040,0.61194753,0.64975236,0.70710609
mix_crt_ce_lam0p05,0.70567046,-0.00328351,0.82866554,0.88753756,0.60060823,-0.00335535,0.35470703,-0.00324393,0.43868166,-0.03836735,0.62799714,0.59636013,0.64443094,0.60558531,0.64920292,0.72597411
mix_crt_balanced_softmax_lam0p05,0.70566325,-0.00329072,0.82852210,0.88755679,0.60059590,-0.00336767,0.35478187,-0.00316909,0.43905284,-0.03799616,0.62793417,0.59636173,0.64463221,0.60531296,0.64922719,0.72592121
tau0p5_bias,0.70248290,-0.00647107,0.79340895,0.88743739,0.58880459,-0.01515898,0.32037283,-0.03757813,0.58823189,0.11118288,0.60780946,0.60068496,0.63127891,0.61383842,0.65181716,0.69583040
base_logit_adjust_alpha0p25,0.70208765,-0.00686632,0.83663454,0.88635914,0.59632585,-0.00763772,0.34437643,-0.01357453,0.40621475,-0.07083426,0.61609470,0.59537014,0.63752847,0.60284246,0.65060047,0.72746827
mix_crt_balanced_softmax_lam0p1,0.69953643,-0.00941754,0.83332439,0.88388897,0.59301492,-0.01094865,0.34187068,-0.01608028,0.40784894,-0.06920007,0.62356914,0.58170714,0.63604522,0.59884839,0.64479968,0.72426417
mix_crt_ce_lam0p1,0.69947845,-0.00947552,0.83355974,0.88382510,0.59301949,-0.01094409,0.34174026,-0.01621070,0.40714513,-0.06990388,0.62359172,0.58161667,0.63576433,0.59937181,0.64463253,0.72441908
tau0p75_nobias,0.69747592,-0.01147805,0.80008778,0.88232090,0.58301883,-0.02094474,0.34928114,-0.00866982,0.50584742,0.02879841,0.59760636,0.58744568,0.60982662,0.59916356,0.64604907,0.69175938
base_logit_adjust_alpha0p5,0.68663901,-0.02231496,0.84708878,0.87911021,0.57641784,-0.02754573,0.30184707,-0.05610389,0.35236355,-0.12468545,0.59015468,0.57870327,0.61245393,0.59031053,0.64193032,0.71952509
mix_crt_balanced_softmax_lam0p2,0.67987428,-0.02907969,0.83755030,0.87150678,0.56755364,-0.03640993,0.29612014,-0.06183082,0.35527521,-0.12177380,0.60746160,0.53773475,0.60857441,0.57573095,0.62874008,0.71851356
mix_crt_ce_lam0p2,0.67961546,-0.02933851,0.83792317,0.87124851,0.56743347,-0.03653010,0.29573248,-0.06221848,0.35431591,-0.12273310,0.60777911,0.53727772,0.60739083,0.57741784,0.62756714,0.71886920
tau1_nobias,0.67684531,-0.03210866,0.77957326,0.87285365,0.55667813,-0.04728544,0.33780693,-0.02014403,0.53323821,0.05618920,0.55465933,0.57582773,0.55540081,0.57239358,0.63946158,0.66119699
tau0p75_bias,0.67671155,-0.03224243,0.75914877,0.87972806,0.55281435,-0.05114922,0.23697189,-0.12097907,0.70914762,0.23209861,0.55341441,0.59104035,0.58169653,0.59640128,0.64892485,0.66125114
base_logit_adjust_alpha1,0.63099500,-0.07795897,0.85844361,0.84847842,0.51035035,-0.09361322,0.19204159,-0.16590938,0.22719121,-0.24985779,0.50462517,0.52970910,0.51869085,0.55468876,0.60260897,0.67008800
mix_crt_balanced_softmax_lam0p4,0.62467838,-0.08427559,0.83341496,0.83065509,0.49487330,-0.10909028,0.19875341,-0.15919755,0.24353313,-0.23351587,0.54715002,0.41544436,0.51948198,0.50224088,0.58578161,0.69526082
mix_crt_ce_lam0p4,0.62365913,-0.08529485,0.83385366,0.82954364,0.49454770,-0.10941587,0.19822024,-0.15973072,0.24175914,-0.23528986,0.54966533,0.41410804,0.51679699,0.50517808,0.58275167,0.69511357
tau1_bias,0.61564571,-0.09330826,0.69303515,0.86089196,0.47680918,-0.12715440,0.09519646,-0.26275450,0.87366107,0.39661207,0.44642361,0.56728518,0.47826988,0.55555281,0.63885524,0.55608105
crt_balanced_softmax,0.43642715,-0.27252683,0.77299569,0.61315501,0.31011126,-0.29385231,0.06362417,-0.29432679,0.03008070,-0.44696831,0.31181751,0.21702278,0.27693568,0.25422460,0.46838061,0.57877347
crt_ce,0.43338604,-0.27556793,0.77264306,0.60741334,0.31041744,-0.29354613,0.06321782,-0.29473314,0.02728474,-0.44976427,0.32481941,0.21471207,0.27343913,0.25615699,0.46244482,0.57813186
