variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
base,0.70950561,0.00000000,0.82213438,0.88979917,0.60491475,0.00000000,0.36187337,0.00000000,0.47592580,0.00000000,0.62833421,0.60549948,0.64887916,0.61152230,0.65084508,0.72744966
multiproto8_adapt_tau0p2_lam0p05,0.70950251,-0.00000310,0.82220348,0.88979337,0.60491517,0.00000042,0.36188878,0.00001541,0.47556907,-0.00035673,0.62839717,0.60542532,0.64882062,0.61150717,0.65083604,0.72753107
multiproto4_adapt_tau0p2_lam0p05,0.70950239,-0.00000323,0.82220168,0.88979446,0.60492640,0.00001165,0.36188747,0.00001411,0.47557390,-0.00035191,0.62840965,0.60542123,0.64884692,0.61154321,0.65082960,0.72754673
proto_adapt_tau0p2_lam0p05,0.70949952,-0.00000610,0.82217748,0.88979535,0.60491135,-0.00000341,0.36188974,0.00001637,0.47567513,-0.00025067,0.62839904,0.60543628,0.64878096,0.61152564,0.65083598,0.72751177
proto_adapt_tau0p2_lam0p1,0.70947923,-0.00002638,0.82221679,0.88978858,0.60489043,-0.00002432,0.36186257,-0.00001080,0.47548230,-0.00044350,0.62838805,0.60537822,0.64876211,0.61152274,0.65080499,0.72751437
proto_tau0p2_lam0p05,0.70947606,-0.00002956,0.82226184,0.88978024,0.60489592,-0.00001883,0.36186348,-0.00000989,0.47520753,-0.00071827,0.62838349,0.60537561,0.64876056,0.61148415,0.65078800,0.72761614
multiproto8_adapt_tau0p2_lam0p1,0.70947357,-0.00003205,0.82226463,0.88978225,0.60488347,-0.00003128,0.36182398,-0.00004939,0.47529430,-0.00063150,0.62844797,0.60527681,0.64878270,0.61147921,0.65080085,0.72757281
multiproto8_tau0p2_lam0p05,0.70947135,-0.00003426,0.82233023,0.88977230,0.60489734,-0.00001741,0.36189927,0.00002590,0.47475921,-0.00116659,0.62846244,0.60528743,0.64885892,0.61140575,0.65076503,0.72760254
proto_adapt_tau0p1_lam0p05,0.70946627,-0.00003934,0.82225116,0.88978167,0.60488527,-0.00002948,0.36185637,-0.00001700,0.47528948,-0.00063632,0.62838037,0.60531687,0.64876144,0.61148757,0.65078338,0.72761091
multiproto4_adapt_tau0p2_lam0p1,0.70946468,-0.00004093,0.82225240,0.88978114,0.60489149,-0.00002326,0.36183380,-0.00003957,0.47528948,-0.00063632,0.62840718,0.60530183,0.64875839,0.61149861,0.65081094,0.72762970
