target_id,target_name,pred_id,pred_name,count,fraction_of_target
10,picture,10,picture,99689,0.4805632417736042
10,picture,0,wall,99227,0.4783361132268297
10,picture,8,window,3380,0.01629371101319887
10,picture,19,otherfurniture,3081,0.014852344269723585
10,picture,9,bookshelf,860,0.0041457371217014875
10,picture,12,desk,554,0.002670626006305377
10,picture,6,table,227,0.001094281775146788
10,picture,3,bed,136,0.0006556049401760492
10,picture,1,floor,104,0.0005013449542522729
10,picture,7,door,104,0.0005013449542522729
10,picture,2,cabinet,56,0.0002699549753666085
10,picture,4,chair,24,0.00011569498944283221
11,counter,11,counter,172412,0.7781729554071132
11,counter,2,cabinet,19202,0.08666726846001083
11,counter,0,wall,9116,0.041144610940602996
11,counter,6,table,8925,0.04028254197508575
11,counter,17,sink,7272,0.03282180899079256
11,counter,8,window,1789,0.00807456219534212
11,counter,14,refridgerator,1188,0.005361978696515617
11,counter,19,otherfurniture,731,0.0032993320093879764
11,counter,12,desk,627,0.0028299332009387975
11,counter,9,bookshelf,180,0.0008124210146235783
11,counter,1,floor,66,0.0002978877053619787
11,counter,4,chair,48,0.00021664560389962086
11,counter,7,door,4,1.8053800324968405e-05
12,desk,12,desk,551171,0.8412730877659452
12,desk,6,table,28852,0.044037895912925486
12,desk,0,wall,24923,0.03804091500893671
12,desk,2,cabinet,14881,0.022713431619306952
12,desk,9,bookshelf,9016,0.01376146088835908
12,desk,1,floor,8549,0.013048661172868431
12,desk,4,chair,8487,0.012954028234195154
12,desk,19,otherfurniture,6443,0.009834193933418096
12,desk,14,refridgerator,1404,0.002142978159633557
12,desk,3,bed,759,0.0011584903298873716
12,desk,8,window,511,0.0007799585751942646
12,desk,7,door,134,0.00020452925455192067
12,desk,11,counter,32,4.884280705717508e-05
12,desk,10,picture,1,1.5263377205367213e-06
17,sink,17,sink,80234,0.7828547453873098
17,sink,2,cabinet,8443,0.0823795724419206
17,sink,11,counter,6655,0.06493379777341958
17,sink,19,otherfurniture,2088,0.020372918069256212
17,sink,0,wall,1657,0.016167588716837905
17,sink,4,chair,1035,0.01009864473260545
17,sink,6,table,1017,0.009923016128560138
17,sink,8,window,1007,0.009825444681868299
17,sink,15,shower curtain,282,0.002751514796709891
17,sink,3,bed,59,0.0005756715354818566
17,sink,1,floor,7,6.830001268428807e-05
17,sink,16,toilet,5,4.878572334592005e-05
2,cabinet,2,cabinet,1046519,0.7475696391515078
2,cabinet,0,wall,87789,0.06271113190632155
2,cabinet,19,otherfurniture,59423,0.042448183613771034
2,cabinet,14,refridgerator,44231,0.031595941124155744
2,cabinet,9,bookshelf,41776,0.02984223816786259
2,cabinet,12,desk,37649,0.026894159919136792
2,cabinet,11,counter,27751,0.01982362962936506
2,cabinet,1,floor,15173,0.010838670043110376
2,cabinet,7,door,10599,0.007571282131874176
2,cabinet,17,sink,8150,0.00582186521131942
2,cabinet,6,table,5941,0.004243889720300451
2,cabinet,8,window,5790,0.004136024487550852
2,cabinet,10,picture,3226,0.002304458548676865
2,cabinet,4,chair,1739,0.0012422360248447205
2,cabinet,3,bed,1428,0.0010200765057379305
2,cabinet,13,curtain,1368,0.0009772161483539838
2,cabinet,5,sofa,1054,0.0007529136113779962
2,cabinet,16,toilet,204,0.00014572521510541862
2,cabinet,15,shower curtain,85,6.071883962725776e-05
15,shower curtain,15,shower curtain,126155,0.7973996258090615
15,shower curtain,0,wall,24026,0.15186336974110032
15,shower curtain,18,bathtub,5277,0.033354824029126214
15,shower curtain,13,curtain,1336,0.00844457928802589
15,shower curtain,1,floor,596,0.003767192556634304
15,shower curtain,7,door,390,0.002465109223300971
15,shower curtain,8,window,177,0.0011187803398058252
15,shower curtain,4,chair,143,0.0009038733818770226
15,shower curtain,19,otherfurniture,41,0.0002591525080906149
15,shower curtain,3,bed,38,0.00024019012944983818
15,shower curtain,2,cabinet,21,0.0001327366504854369
15,shower curtain,17,sink,6,3.7924757281553395e-05
15,shower curtain,11,counter,2,1.26415857605178e-05
7,door,7,door,1269416,0.7932903009703217
7,door,0,wall,183164,0.11446383587959187
7,door,8,window,122545,0.07658148308545668
7,door,1,floor,9765,0.00610239652641466
7,door,13,curtain,3883,0.0024265853263766637
7,door,15,shower curtain,2987,0.0018666521683973975
7,door,19,otherfurniture,2772,0.0017322932074983549
7,door,9,bookshelf,1924,0.0012023564686965494
7,door,2,cabinet,1458,0.0009111412325153685
7,door,4,chair,1041,0.0006505473409111788
7,door,5,sofa,438,0.0002737173249943288
7,door,12,desk,318,0.00019872627705067709
7,door,18,bathtub,219,0.0001368586624971644
7,door,6,table,77,4.8119255763843194e-05
7,door,3,bed,74,4.6244479565251896e-05
7,door,14,refridgerator,55,3.4370896974173706e-05
7,door,16,toilet,37,2.3122239782625948e-05
7,door,10,picture,17,1.0623731792017328e-05
7,door,11,counter,1,6.24925399530431e-07
