target_id,target_name,top3_class_id,top3_class_name,count,fraction_of_target
10,picture,0,wall,206320,0.9945912592435476
10,picture,1,floor,1013,0.004883292679399543
10,picture,2,cabinet,54065,0.26062706684278014
10,picture,3,bed,6216,0.029965002265693545
10,picture,4,chair,5957,0.028716460504622978
10,picture,5,sofa,151,0.0007279143085778193
10,picture,6,table,5803,0.027974084322364805
10,picture,7,door,37266,0.17964539485735773
10,picture,8,window,71883,0.34652095525496285
10,picture,9,bookshelf,4850,0.023380029116572342
10,picture,10,picture,164639,0.7936628069532689
10,picture,11,counter,106,0.000510986203372509
10,picture,12,desk,3948,0.0190318257633459
10,picture,13,curtain,619,0.0029839666027130477
10,picture,14,refridgerator,167,0.0008050443015397075
10,picture,16,toilet,32,0.00015425998592377628
10,picture,17,sink,3,1.4461873680354027e-05
10,picture,18,bathtub,137,0.0006604255647361672
10,picture,19,otherfurniture,59151,0.28514476335554034
11,counter,0,wall,54702,0.24689474634410544
11,counter,1,floor,14486,0.06538183787687309
11,counter,2,cabinet,196860,0.8885177829933201
11,counter,3,bed,96,0.0004332912077992417
11,counter,4,chair,843,0.0038048384184870914
11,counter,5,sofa,123,0.0005551543599927785
11,counter,6,table,65979,0.2977929229102726
11,counter,7,door,719,0.003245170608413071
11,counter,8,window,5761,0.026001985918035746
11,counter,9,bookshelf,5709,0.025767286513811157
11,counter,10,picture,4,1.8053800324968405e-05
11,counter,11,counter,212068,0.95715833182885
11,counter,12,desk,15919,0.07184961184329301
11,counter,13,curtain,48,0.00021664560389962086
11,counter,14,refridgerator,7532,0.033995306011915506
11,counter,16,toilet,3,1.3540350243726304e-05
11,counter,17,sink,41121,0.18559758079075644
11,counter,18,bathtub,162,0.0007311789131612204
11,counter,19,otherfurniture,42545,0.1920247337064452
12,desk,0,wall,105489,0.1610118398016982
12,desk,1,floor,46699,0.07127844521134435
12,desk,2,cabinet,245022,0.37398632096134854
12,desk,3,bed,24740,0.03776159520607849
12,desk,4,chair,67729,0.1033773274742316
12,desk,5,sofa,670,0.0010226462727596034
12,desk,6,table,533589,0.8144370179634687
12,desk,7,door,4089,0.006241194939274654
12,desk,8,window,3809,0.005813820377524372
12,desk,9,bookshelf,62234,0.09499010169988233
12,desk,10,picture,440,0.0006715885970361574
12,desk,11,counter,67288,0.10270421253947491
12,desk,12,desk,644365,0.9835186052936444
12,desk,13,curtain,256,0.00039074245645740065
12,desk,14,refridgerator,6997,0.01067978503059544
12,desk,15,shower curtain,128,0.00019537122822870033
12,desk,16,toilet,15,2.2895065808050822e-05
12,desk,17,sink,167,0.0002548983993296325
12,desk,18,bathtub,5,7.631688602683607e-06
12,desk,19,otherfurniture,151758,0.23163395979321177
17,sink,0,wall,14340,0.1399174545560987
17,sink,1,floor,366,0.0035711149489213475
17,sink,2,cabinet,79748,0.7781127730780865
17,sink,3,bed,237,0.0023124432865966106
17,sink,4,chair,4641,0.04528290840968299
17,sink,5,sofa,61,0.0005951858248202246
17,sink,6,table,4135,0.04034579320707588
17,sink,7,door,710,0.0069275727151206475
17,sink,8,window,3334,0.03253032032705949
17,sink,9,bookshelf,674,0.006576315507030023
17,sink,10,picture,8,7.805715735347208e-05
17,sink,11,counter,77917,0.7602474411888105
17,sink,12,desk,323,0.0031515577281464352
17,sink,13,curtain,42,0.0004098000761057284
17,sink,14,refridgerator,20,0.0001951428933836802
17,sink,15,shower curtain,595,0.0058055010781644855
17,sink,16,toilet,198,0.001931914644498434
17,sink,17,sink,95231,0.9291826439910624
17,sink,18,bathtub,234,0.0022831718525890585
17,sink,19,otherfurniture,24653,0.2405428875293934
2,cabinet,0,wall,688345,0.4917118783908793
2,cabinet,1,floor,61149,0.04368113322784923
2,cabinet,2,cabinet,1346163,0.9616171212840963
2,cabinet,3,bed,11904,0.008503494904975015
2,cabinet,4,chair,24798,0.01771418570678515
2,cabinet,5,sofa,9499,0.006785508913168488
2,cabinet,6,table,167252,0.11947467488633076
2,cabinet,7,door,67371,0.0481257522885645
2,cabinet,8,window,32037,0.022885287825158314
2,cabinet,9,bookshelf,368506,0.2632383143021441
2,cabinet,10,picture,16831,0.012023044585486769
2,cabinet,11,counter,167577,0.11970683515549381
2,cabinet,12,desk,134288,0.09592719453959046
2,cabinet,13,curtain,7401,0.005286825083309819
2,cabinet,14,refridgerator,145982,0.10428067819372167
2,cabinet,15,shower curtain,874,0.0006243325392261563
2,cabinet,16,toilet,1094,0.000781487182967294
2,cabinet,17,sink,50090,0.03578125502269813
2,cabinet,18,bathtub,741,0.0005293254136917412
2,cabinet,19,otherfurniture,897783,0.641321670553863
15,shower curtain,0,wall,94156,0.595140574433657
15,shower curtain,1,floor,1647,0.010410345873786407
15,shower curtain,2,cabinet,1519,0.00960128438511327
15,shower curtain,3,bed,680,0.004298139158576052
15,shower curtain,4,chair,1974,0.012477245145631068
15,shower curtain,5,sofa,10,6.320792880258899e-05
15,shower curtain,6,table,30,0.000189623786407767
15,shower curtain,7,door,106992,0.6762742718446602
15,shower curtain,8,window,4819,0.030459900889967636
15,shower curtain,9,bookshelf,1137,0.007186741504854369
15,shower curtain,10,picture,48,0.00030339805825242716
15,shower curtain,11,counter,34,0.00021490695792880258
15,shower curtain,13,curtain,97518,0.6163910800970874
15,shower curtain,14,refridgerator,13,8.21703074433657e-05
15,shower curtain,15,shower curtain,141438,0.8940003033980582
15,shower curtain,16,toilet,84,0.0005309466019417476
15,shower curtain,17,sink,57,0.0003602851941747573
15,shower curtain,18,bathtub,19195,0.12132761933656958
15,shower curtain,19,otherfurniture,3273,0.020687955097087377
7,door,0,wall,1544747,0.9653516361484348
7,door,1,floor,73497,0.04593014208928809
7,door,2,cabinet,196116,0.12255786965431002
7,door,3,bed,3740,0.002337220994243812
