class_id,class_name,kind,k,hit_count,hit_rate,ci_low,ci_high,target_count
10,picture,topk,1,99689,0.4805632417736042,0.478413187910784,0.4827132956364244,207442
10,picture,topk,2,147319,0.7101695895720249,0.7082172258128443,0.7121219533312055,207442
10,picture,topk,3,164639,0.7936628069532689,0.7919213429601162,0.7954042709464215,207442
10,picture,topk,5,185167,0.8926205879233714,0.8912882889706469,0.8939528868760959,207442
10,picture,topk,10,201214,0.9699771502395851,0.9692427810728973,0.9707115194062729,207442
10,picture,topk,20,207442,1.0,1.0,1.0,207442
10,picture,topk_plus_confusion_graph,1,198916,0.9588993550004339,0.9580450389655255,0.9597536710353423,207442
10,picture,topk_plus_confusion_graph,2,205844,0.9922966419529314,0.9919203988661937,0.9926728850396692,207442
10,picture,topk_plus_confusion_graph,3,206463,0.9952806085556445,0.9949856754678735,0.9955755416434154,207442
10,picture,topk_plus_confusion_graph,5,207177,0.9987225344915688,0.9985688235644836,0.9988762454186539,207442
11,counter,topk,1,172412,0.7781729554071132,0.7764429171526414,0.779902993661585,221560
11,counter,topk,2,200554,0.9051904675934285,0.9039706177315106,0.9064103174553464,221560
11,counter,topk,3,212068,0.95715833182885,0.9563151223660296,0.9580015412916705,221560
11,counter,topk,5,217213,0.9803800324968406,0.9798025261471671,0.980957538846514,221560
11,counter,topk,10,220591,0.9956264668712764,0.9953516933876045,0.9959012403549483,221560
11,counter,topk,20,221560,1.0,1.0,1.0,221560
11,counter,topk_plus_confusion_graph,1,191614,0.864840223867124,0.8634165776932325,0.8662638700410155,221560
11,counter,topk_plus_confusion_graph,2,212485,0.959040440512728,0.9582151506850952,0.9598657303403607,221560
11,counter,topk_plus_confusion_graph,3,219439,0.9904269723776855,0.9900215139997243,0.9908324307556468,221560
11,counter,topk_plus_confusion_graph,5,221307,0.9988580971294457,0.9987174674869447,0.9989987267719468,221560
12,desk,topk,1,551171,0.8412730877659452,0.8403882265259682,0.8421579490059222,655163
12,desk,topk,2,625631,0.9549241944371095,0.9544218083695134,0.9554265805047056,655163
12,desk,topk,3,644365,0.9835186052936444,0.9832103080371528,0.983826902550136,655163
12,desk,topk,5,653374,0.9972693818179598,0.9971430193435734,0.9973957442923461,655163
12,desk,topk,10,655008,0.9997634176533168,0.999726176666687,0.9998006586399466,655163
12,desk,topk,20,655163,1.0,1.0,1.0,655163
12,desk,topk_plus_confusion_graph,1,580023,0.8853109836788707,0.8845393872125873,0.8860825801451542,655163
12,desk,topk_plus_confusion_graph,2,635436,0.9698899357869721,0.9694761281922012,0.9703037433817431,655163
12,desk,topk_plus_confusion_graph,3,648429,0.9897216417899057,0.989477411346495,0.9899658722333164,655163
12,desk,topk_plus_confusion_graph,5,654319,0.998711770963867,0.9986249153256044,0.9987986266021296,655163
17,sink,topk,1,80234,0.7828547453873098,0.7803304904800673,0.7853790002945523,102489
17,sink,topk,2,90663,0.8846120071422299,0.8826559831927852,0.8865680310916746,102489
17,sink,topk,3,95231,0.9291826439910624,0.9276121443475117,0.9307531436346131,102489
17,sink,topk,5,98400,0.9601030354477066,0.9589047886077553,0.9613012822876579,102489
17,sink,topk,10,100877,0.9842714827932754,0.9835097217030835,0.9850332438834672,102489
17,sink,topk,20,102489,1.0,1.0,1.0,102489
17,sink,topk_plus_confusion_graph,1,88677,0.8652343178292304,0.8631437032783956,0.8673249323800652,102489
17,sink,topk_plus_confusion_graph,2,98052,0.9567075491028305,0.9554615631949581,0.9579535350107029,102489
17,sink,topk_plus_confusion_graph,3,99700,0.9727873235176457,0.9717912026822517,0.9737834443530398,102489
17,sink,topk_plus_confusion_graph,5,101417,0.9895403409146347,0.9889174773020551,0.9901632045272143,102489
2,cabinet,topk,1,1046518,0.747568924812218,0.7468493012598487,0.7482885483645874,1399895
2,cabinet,topk,2,1276088,0.9115597955560952,0.9110894405287958,0.9120301505833946,1399895
2,cabinet,topk,3,1346163,0.9616171212840963,0.9612988641075078,0.9619353784606848,1399895
2,cabinet,topk,5,1384052,0.9886827226327689,0.9885074929024706,0.9888579523630672,1399895
2,cabinet,topk,10,1399116,0.9994435296932984,0.9994044628367166,0.9994825965498803,1399895
2,cabinet,topk,20,1399895,1.0,1.0,1.0,1399895
