variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,desk_iou,desk_delta_iou,sink_iou,sink_delta_iou,cabinet_iou,cabinet_delta_iou,shower_curtain_iou,shower_curtain_delta_iou,door_iou,door_delta_iou
base,0.7086468709729878,0.821535195418176,0.8898783742528856,0.0,0.358235289889966,0.0,0.6269185317164515,0.0,0.6054668447717515,0.0,0.6485809210473129,0.0,0.6142733041023203,0.0,0.7227441993698077,0.0,0.6544406958616196,0.0
pair_probe_top2,0.6745787284606115,0.8289583183041872,0.8471618475867515,-0.03406814251237633,0.14910996594679457,-0.20912532394317143,0.5966856902979478,-0.030232841418503686,0.5677242299110005,-0.037742614860751034,0.5937881238119552,-0.05479279723535768,0.5971677765008813,-0.01710552760143902,0.7359635728185308,0.013219373448723037,0.4663257953459412,-0.18811490051567836
bias_unweighted,0.6548820723180684,0.8543770071183466,0.8568204546053747,-0.053764798654919455,0.20823790344763682,-0.14999738644232918,0.5768542805675819,-0.05006425114886959,0.5685816196804293,-0.036885225091322194,0.5521515247049803,-0.09642939634233261,0.5581250564036772,-0.05614824769864313,0.721605951208839,-0.0011382481609687467,0.6133277286995668,-0.041112967162052816
bias_balanced,0.6531363675957126,0.8548052101548853,0.8565276259721913,-0.055510503377275255,0.20811715650671747,-0.15011813338324853,0.5741561972771672,-0.05276233443928435,0.5683286025351892,-0.03713824223656226,0.5259905235312924,-0.12259039751602052,0.5565414698148294,-0.057731834287490846,0.7217638768430179,-0.000980322526789812,0.6132322124894037,-0.04120848337221583
oracle_top2,0.8746578014786912,0.9199728704101048,0.9629037374431643,0.16601093050570337,0.69717993251525,0.338944642625284,0.8567974230371589,0.22987889132070738,0.8371381356669274,0.2316712908951759,0.8330163455442535,0.18443542449694061,0.8261757949775084,0.2119024908751881,0.8374575094118932,0.11471331004208551,0.9135244930712363,0.2590837972096167
oracle_top3,0.926045427261219,0.9506798668329625,0.980580475701745,0.21739855628823113,0.7870045937561243,0.4287693038661583,0.9390312482011358,0.3121127164846843,0.9177537454903852,0.31228690071863374,0.903297099387247,0.2547161783399341,0.9042777368386758,0.29000443273635557,0.8723740208474676,0.1496298214776599,0.9677837188286035,0.3133430229669839
oracle_top5,0.9669763815813216,0.976178085504219,0.9925785346216418,0.25832951060833376,0.8866834904779459,0.5284482005879799,0.9767166836787456,0.34979815196229413,0.9783493777636024,0.3728825329918509,0.9535992557274092,0.3050183346800963,0.9630539352565392,0.34878063115421887,0.9224863669489604,0.19974216757915264,0.9918118802648348,0.33737118440321523
oracle_top10,0.992101440552785,0.9938837942843526,0.99869499374238,0.2834545695797972,0.9698088472030766,0.6115735573131106,0.9952177071161417,0.36829917539969015,0.9986811471123219,0.3932143023405704,0.9840218504609072,0.33544092941359427,0.9909953684192633,0.376722064316943,0.9776375386131478,0.2548933392433401,0.9991192096624574,0.3446785138008378
oracle_graph_top1,0.7817144643870126,0.8755599417715267,0.9119378711673297,0.0730675934140248,0.9410618146034986,0.5828265247135326,0.7749369095379834,0.14801837782153193,0.7199226982625726,0.1144558534908211,0.7673875230405767,0.11880660199326376,0.6458256887576259,0.03155238465530563,0.8784518106468723,0.15570761127706456,0.8434757765937185,0.18903508073209896
oracle_graph_top2,0.9118577854739529,0.9501811117971475,0.968736648594548,0.20321091450096507,0.9773658545849928,0.6191305646950268,0.9293674606576446,0.30244892894119313,0.8640344615183789,0.2585676167466274,0.9257262625213598,0.2771453414740469,0.8397208896413709,0.22544758553905064,0.9678898800558218,0.24514568068601406,0.9496359798722843,0.29519528401066475
oracle_graph_top3,0.9503677661026471,0.9710842163116563,0.9835779071595835,0.24172089512965922,0.9871858011025945,0.6289505112126285,0.9800321557768743,0.3531136240604228,0.9300606721266798,0.32459382735492825,0.9580550617402576,0.30947414069294465,0.9136321706621653,0.299358866559845,0.9748091697339487,0.252064970364141,0.9784927411317909,0.3240520452701713
oracle_graph_top5,0.9803740697298068,0.9877530438086539,0.9939507351149718,0.27172719875681894,0.9921557359385097,0.6339204460485437,0.9965776094602076,0.36965907774375606,0.980605760872823,0.37513891610107153,0.9831896927804858,0.33460877173317294,0.9673286135586044,0.35305530945628416,0.9936400600800643,0.2708958607102566,0.9945568376812315,0.3401161418196119
prior_alpha0p25,0.7085816959834511,0.8216957745865517,0.8898740544243767,-6.517498953673151e-05,0.358235289889966,0.0,0.6266862148750707,-0.00023231684138080855,0.6054668447717515,0.0,0.6474205918529768,-0.0011603291943360627,0.6142174680774126,-5.583602490766282e-05,0.7231402357008347,0.0003960363310270276,0.65443711388466,-3.5819769595990536e-06
prior_alpha0p5,0.7085027482120536,0.8218597216555817,0.8898692608082248,-0.00014412276093422882,0.358235289889966,0.0,0.626432115799782,-0.0004864159166695359,0.6054668447717515,0.0,0.6461315991307677,-0.002449321916545233,0.6141563502845689,-0.00011695381775134184,0.7234464698213752,0.0007022704515674549,0.6544400180858024,-6.777758171372383e-07
prior_alpha0p75,0.7084300489370241,0.822036419705055,0.8898647180208251,-0.0002168220359637374,0.358235289889966,0.0,0.6261511671961062,-0.000767364520345315,0.6054675098838543,6.651121028378171e-07,0.6448862283055714,-0.003694692741741501,0.6141019340087126,-0.00017137009360768118,0.723957500285616,0.0012133009158082908,0.6544344115824391,-6.2842791804795795e-06
prior_alpha1p0,0.7083944720108843,0.822226369269632,0.8898632966578964,-0.000252398962103495,0.358235289889966,0.0,0.6260030405664054,-0.0009154911500460772,0.6054701703468783,3.325575126833513e-06,0.6444470764736068,-0.004133844573706136,0.61406284317629,-0.00021046092603027589,0.7243642423412314,0.0016200429714237075,0.6544377746396527,-2.9212219668783845e-06
