pair,target_id,target_name,pred_id,pred_name,count,fraction_of_target
picture_vs_wall,10,picture,0,wall,40121,0.6686833333333333
picture_vs_wall,10,picture,1,floor,48,0.0008
picture_vs_wall,10,picture,2,cabinet,1,1.6666666666666667e-05
picture_vs_wall,10,picture,3,bed,7,0.00011666666666666667
picture_vs_wall,10,picture,6,table,143,0.0023833333333333332
picture_vs_wall,10,picture,7,door,20,0.0003333333333333333
picture_vs_wall,10,picture,8,window,63,0.00105
picture_vs_wall,10,picture,10,picture,17157,0.28595
picture_vs_wall,10,picture,12,desk,91,0.0015166666666666666
picture_vs_wall,10,picture,19,otherfurniture,2349,0.03915
picture_vs_wall,0,wall,0,wall,55314,0.9219
picture_vs_wall,0,wall,1,floor,250,0.004166666666666667
picture_vs_wall,0,wall,2,cabinet,6,0.0001
picture_vs_wall,0,wall,3,bed,1,1.6666666666666667e-05
picture_vs_wall,0,wall,6,table,1,1.6666666666666667e-05
picture_vs_wall,0,wall,7,door,284,0.004733333333333333
picture_vs_wall,0,wall,8,window,75,0.00125
picture_vs_wall,0,wall,9,bookshelf,3044,0.05073333333333333
picture_vs_wall,0,wall,12,desk,646,0.010766666666666667
picture_vs_wall,0,wall,13,curtain,266,0.004433333333333333
picture_vs_wall,0,wall,19,otherfurniture,113,0.0018833333333333334
counter_vs_cabinet,11,counter,0,wall,2458,0.043368562203362916
counter_vs_cabinet,11,counter,2,cabinet,4770,0.08416112355982144
counter_vs_cabinet,11,counter,4,chair,23,0.0004058083525945269
counter_vs_cabinet,11,counter,6,table,140,0.002470137798401468
counter_vs_cabinet,11,counter,7,door,1,1.7643841417153343e-05
counter_vs_cabinet,11,counter,8,window,253,0.004463891878539796
counter_vs_cabinet,11,counter,11,counter,47019,0.829595779593133
counter_vs_cabinet,11,counter,12,desk,1,1.7643841417153343e-05
counter_vs_cabinet,11,counter,14,refridgerator,480,0.008469043880233604
counter_vs_cabinet,11,counter,17,sink,1519,0.026800995112655927
counter_vs_cabinet,11,counter,19,otherfurniture,13,0.00022936993842299347
counter_vs_cabinet,2,cabinet,0,wall,2117,0.03528333333333333
counter_vs_cabinet,2,cabinet,1,floor,486,0.0081
counter_vs_cabinet,2,cabinet,2,cabinet,45361,0.7560166666666667
counter_vs_cabinet,2,cabinet,3,bed,3,5e-05
counter_vs_cabinet,2,cabinet,4,chair,30,0.0005
counter_vs_cabinet,2,cabinet,6,table,1,1.6666666666666667e-05
counter_vs_cabinet,2,cabinet,9,bookshelf,300,0.005
counter_vs_cabinet,2,cabinet,10,picture,1,1.6666666666666667e-05
counter_vs_cabinet,2,cabinet,11,counter,359,0.0059833333333333336
counter_vs_cabinet,2,cabinet,12,desk,1277,0.021283333333333335
counter_vs_cabinet,2,cabinet,13,curtain,47,0.0007833333333333334
counter_vs_cabinet,2,cabinet,14,refridgerator,6537,0.10895
counter_vs_cabinet,2,cabinet,17,sink,70,0.0011666666666666668
counter_vs_cabinet,2,cabinet,19,otherfurniture,3411,0.05685
desk_vs_wall,12,desk,0,wall,1990,0.033166666666666664
desk_vs_wall,12,desk,1,floor,524,0.008733333333333333
desk_vs_wall,12,desk,2,cabinet,1211,0.020183333333333334
desk_vs_wall,12,desk,3,bed,1,1.6666666666666667e-05
desk_vs_wall,12,desk,4,chair,357,0.00595
desk_vs_wall,12,desk,6,table,2491,0.04151666666666667
desk_vs_wall,12,desk,8,window,126,0.0021
desk_vs_wall,12,desk,9,bookshelf,724,0.012066666666666667
desk_vs_wall,12,desk,12,desk,52349,0.8724833333333334
desk_vs_wall,12,desk,19,otherfurniture,227,0.0037833333333333334
desk_vs_wall,0,wall,0,wall,55314,0.9219
desk_vs_wall,0,wall,1,floor,250,0.004166666666666667
desk_vs_wall,0,wall,2,cabinet,6,0.0001
desk_vs_wall,0,wall,3,bed,1,1.6666666666666667e-05
desk_vs_wall,0,wall,6,table,1,1.6666666666666667e-05
desk_vs_wall,0,wall,7,door,284,0.004733333333333333
desk_vs_wall,0,wall,8,window,75,0.00125
desk_vs_wall,0,wall,9,bookshelf,3044,0.05073333333333333
desk_vs_wall,0,wall,12,desk,646,0.010766666666666667
desk_vs_wall,0,wall,13,curtain,266,0.004433333333333333
desk_vs_wall,0,wall,19,otherfurniture,113,0.0018833333333333334
desk_vs_table,12,desk,0,wall,1990,0.033166666666666664
desk_vs_table,12,desk,1,floor,524,0.008733333333333333
desk_vs_table,12,desk,2,cabinet,1211,0.020183333333333334
desk_vs_table,12,desk,3,bed,1,1.6666666666666667e-05
desk_vs_table,12,desk,4,chair,357,0.00595
desk_vs_table,12,desk,6,table,2491,0.04151666666666667
desk_vs_table,12,desk,8,window,126,0.0021
desk_vs_table,12,desk,9,bookshelf,724,0.012066666666666667
desk_vs_table,12,desk,12,desk,52349,0.8724833333333334
desk_vs_table,12,desk,19,otherfurniture,227,0.0037833333333333334
desk_vs_table,6,table,0,wall,589,0.009816666666666666
desk_vs_table,6,table,1,floor,1105,0.018416666666666668
desk_vs_table,6,table,2,cabinet,1058,0.017633333333333334
desk_vs_table,6,table,4,chair,1825,0.030416666666666668
desk_vs_table,6,table,5,sofa,15,0.00025
desk_vs_table,6,table,6,table,47531,0.7921833333333334
desk_vs_table,6,table,7,door,2,3.3333333333333335e-05
desk_vs_table,6,table,9,bookshelf,25,0.0004166666666666667
desk_vs_table,6,table,11,counter,23,0.00038333333333333334
desk_vs_table,6,table,12,desk,7323,0.12205
desk_vs_table,6,table,19,otherfurniture,504,0.0084
sink_vs_cabinet,17,sink,0,wall,503,0.015054020890072727
sink_vs_cabinet,17,sink,2,cabinet,2570,0.07691617035285667
sink_vs_cabinet,17,sink,4,chair,80,0.002394277676353515
sink_vs_cabinet,17,sink,6,table,688,0.02059078801664023
sink_vs_cabinet,17,sink,8,window,138,0.0041301289917098135
sink_vs_cabinet,17,sink,11,counter,2074,0.06207164875946488
sink_vs_cabinet,17,sink,15,shower curtain,170,0.0050878400622512195
sink_vs_cabinet,17,sink,16,toilet,3,8.978541286325682e-05
sink_vs_cabinet,17,sink,17,sink,26792,0.8018435938107922
sink_vs_cabinet,17,sink,19,otherfurniture,395,0.011821746026995482
sink_vs_cabinet,2,cabinet,0,wall,2117,0.03528333333333333
sink_vs_cabinet,2,cabinet,1,floor,486,0.0081
sink_vs_cabinet,2,cabinet,2,cabinet,45361,0.7560166666666667
sink_vs_cabinet,2,cabinet,3,bed,3,5e-05
sink_vs_cabinet,2,cabinet,4,chair,30,0.0005
sink_vs_cabinet,2,cabinet,6,table,1,1.6666666666666667e-05
sink_vs_cabinet,2,cabinet,9,bookshelf,300,0.005
sink_vs_cabinet,2,cabinet,10,picture,1,1.6666666666666667e-05
sink_vs_cabinet,2,cabinet,11,counter,359,0.0059833333333333336
sink_vs_cabinet,2,cabinet,12,desk,1277,0.021283333333333335
sink_vs_cabinet,2,cabinet,13,curtain,47,0.0007833333333333334
sink_vs_cabinet,2,cabinet,14,refridgerator,6537,0.10895
sink_vs_cabinet,2,cabinet,17,sink,70,0.0011666666666666668
sink_vs_cabinet,2,cabinet,19,otherfurniture,3411,0.05685
door_vs_wall,7,door,0,wall,7208,0.12013333333333333
door_vs_wall,7,door,1,floor,216,0.0036
door_vs_wall,7,door,6,table,2,3.3333333333333335e-05
door_vs_wall,7,door,7,door,51343,0.8557166666666667
door_vs_wall,7,door,8,window,959,0.015983333333333332
door_vs_wall,7,door,9,bookshelf,172,0.0028666666666666667
door_vs_wall,7,door,12,desk,39,0.00065
door_vs_wall,7,door,14,refridgerator,21,0.00035
door_vs_wall,7,door,16,toilet,16,0.0002666666666666667
door_vs_wall,7,door,19,otherfurniture,24,0.0004
door_vs_wall,0,wall,0,wall,55314,0.9219
door_vs_wall,0,wall,1,floor,250,0.004166666666666667
door_vs_wall,0,wall,2,cabinet,6,0.0001
door_vs_wall,0,wall,3,bed,1,1.6666666666666667e-05
door_vs_wall,0,wall,6,table,1,1.6666666666666667e-05
door_vs_wall,0,wall,7,door,284,0.004733333333333333
door_vs_wall,0,wall,8,window,75,0.00125
door_vs_wall,0,wall,9,bookshelf,3044,0.05073333333333333
door_vs_wall,0,wall,12,desk,646,0.010766666666666667
door_vs_wall,0,wall,13,curtain,266,0.004433333333333333
door_vs_wall,0,wall,19,otherfurniture,113,0.0018833333333333334
shower_curtain_vs_wall,15,shower curtain,0,wall,10427,0.18693750224102693
shower_curtain_vs_wall,15,shower curtain,1,floor,119,0.0021334576356269496
shower_curtain_vs_wall,15,shower curtain,2,cabinet,13,0.00023306680053067518
shower_curtain_vs_wall,15,shower curtain,3,bed,1,1.792821542543655e-05
shower_curtain_vs_wall,15,shower curtain,4,chair,58,0.00103983649467532
shower_curtain_vs_wall,15,shower curtain,7,door,82,0.0014701136648857973
shower_curtain_vs_wall,15,shower curtain,8,window,87,0.00155975474201298
shower_curtain_vs_wall,15,shower curtain,13,curtain,3,5.3784646276309655e-05
shower_curtain_vs_wall,15,shower curtain,15,shower curtain,42574,0.7632758435225357
shower_curtain_vs_wall,15,shower curtain,17,sink,4,7.17128617017462e-05
shower_curtain_vs_wall,15,shower curtain,18,bathtub,2392,0.042884291297644234
shower_curtain_vs_wall,15,shower curtain,19,otherfurniture,18,0.00032270787765785794
shower_curtain_vs_wall,0,wall,0,wall,55314,0.9219
shower_curtain_vs_wall,0,wall,1,floor,250,0.004166666666666667
shower_curtain_vs_wall,0,wall,2,cabinet,6,0.0001
shower_curtain_vs_wall,0,wall,3,bed,1,1.6666666666666667e-05
shower_curtain_vs_wall,0,wall,6,table,1,1.6666666666666667e-05
shower_curtain_vs_wall,0,wall,7,door,284,0.004733333333333333
shower_curtain_vs_wall,0,wall,8,window,75,0.00125
shower_curtain_vs_wall,0,wall,9,bookshelf,3044,0.05073333333333333
shower_curtain_vs_wall,0,wall,12,desk,646,0.010766666666666667
shower_curtain_vs_wall,0,wall,13,curtain,266,0.004433333333333333
shower_curtain_vs_wall,0,wall,19,otherfurniture,113,0.0018833333333333334
