method,score_space,variant,kind,keep_ratio,fixed_count,feature_zero_ratio,block_size,repeats,observed_keep_frac,mIoU,delta_mIoU,mAcc,allAcc,focus_iou,delta_focus_iou,confusion_iou,focus_to_confusion,delta_focus_to_confusion
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,1.0,0,0.0,64,68,1.0,0.7112280636359818,0.0,0.7725660348274653,0.9042270791597184,0.8451407476528413,0.0,0.8441095406468039,0.055529061102831595,0.0
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,0.8,0,0.0,64,68,0.7998404476572486,0.7019722327913561,-0.009255830844625668,0.7665450132666364,0.9031185894484969,0.82087421402752,-0.024266533625321274,0.8412323101360598,0.05621165033070364,0.000682589227872045
ptv3_s3dis_v151_severity,retained,random_keep0p5,random_drop,0.5,0,0.0,64,68,0.5000316987142843,0.6482204206144425,-0.06300764302153927,0.7178989797697833,0.8812729478597451,0.7473767434005997,-0.09776400425224163,0.807460039560551,0.11250352615337271,0.056974465050541115
ptv3_s3dis_v151_severity,retained,random_keep0p2,random_drop,0.2,0,0.0,64,68,0.19989529339706197,0.45170835044898683,-0.25951971318699496,0.5270727804856764,0.7797163800787831,0.3142507851527089,-0.5308899625001324,0.6803304530515841,0.5814632289177013,0.5259341678148697
ptv3_s3dis_v151_severity,retained,random_keep0p1,random_drop,0.1,0,0.0,64,68,0.10001092612305108,0.22355210070206433,-0.48767596293391746,0.3138048705799166,0.43753675006756765,0.002130016188123021,-0.8430107314647183,0.2865925525776233,0.2380546438770726,0.182525582774241
ptv3_s3dis_v151_severity,retained,fixed_points_16000,fixed_count_drop,1.0,16000,0.0,64,68,0.07008266724262606,0.10280299363361373,-0.6084250700023681,0.18371092077634782,0.18591636029411765,0.0,-0.8451407476528413,0.1112612947883948,0.05301099541251001,-0.0025180656903215845
ptv3_s3dis_v151_severity,retained,fixed_points_8000,fixed_count_drop,1.0,8000,0.0,64,68,0.03504133362131303,0.0168667786165893,-0.6943612850193925,0.0937984247543375,0.02681617647058823,0.0,-0.8451407476528413,0.01943500424808835,0.0013020833333333333,-0.05422697776949826
ptv3_s3dis_v151_severity,retained,fixed_points_4000,fixed_count_drop,1.0,4000,0.0,64,68,0.017520666810656515,0.0020650399415343685,-0.7091630236944474,0.07899287270473294,0.004088235294117645,0.0,-0.8451407476528413,0.0028412348541796695,0.0002875215641173088,-0.05524153953871429
ptv3_s3dis_v151_severity,retained,structured_b64_keep0p8,structured_drop,0.8,0,0.0,64,68,0.7957858986714307,0.6998411816127622,-0.01138688202321958,0.7642523485295866,0.9000886271408386,0.8341941874229939,-0.010946560229847413,0.8350277618026075,0.053431835752942185,-0.0020972253498894103
ptv3_s3dis_v151_severity,retained,structured_b64_keep0p5,structured_drop,0.5,0,0.0,64,68,0.5023828284705386,0.6555661074156782,-0.055661956220303566,0.7240504841014295,0.8882432009835969,0.7549517628191666,-0.09018898483367466,0.8296732505330704,0.10574347251491231,0.05021441141208072
ptv3_s3dis_v151_severity,retained,structured_b64_keep0p2,structured_drop,0.2,0,0.0,64,68,0.18321624294142513,0.5874727551931225,-0.12375530844285931,0.6670571738144034,0.8764583544825282,0.6210764167471704,-0.2240643309056709,0.8122106749075381,0.22333450710129618,0.1678054459984646
ptv3_s3dis_v151_severity,retained,structured_b64_keep0p1,structured_drop,0.1,0,0.0,64,68,0.10315464453443009,0.6001577535742144,-0.11107031006176737,0.672680026115249,0.8649658883396806,0.5683712547871117,-0.2767694928657296,0.8039679400079117,0.155955664255607,0.1004266031527754
