method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,0,ceiling,1.0,0.9099144064446093,0.0,0.9472426062538966,0.9099144064446093,3860729,3815429,3657047
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,1,floor,1.0,0.979748059214633,0.0,0.9902574062453672,0.979748059214633,3217521,3220687,3186174
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,2,wall,1.0,0.8441095406468039,0.0,0.9667750527396725,0.8441095406468039,5733824,6376554,5543318
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,3,beam,1.0,0.0,0.0,0.0,0.0,6161,32246,0
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,4,column,1.0,0.4398954943392766,0.0,0.541280445333055,0.4398954943392766,354611,273673,191944
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,5,window,1.0,0.5876943264767164,0.0,0.6080488075051763,0.5876943264767164,704154,452548,428160
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,6,door,1.0,0.738129524161243,0.0,0.8546008599439998,0.738129524161243,626785,634553,535651
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,7,table,1.0,0.8129268473678792,0.0,0.8855148442175281,0.8129268473678792,766999,747676,679189
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,8,chair,1.0,0.925007015517629,0.0,0.9646594737618599,0.925007015517629,413463,416575,398851
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,9,sofa,1.0,0.7679371277625543,0.0,0.8207083990881977,0.7679371277625543,57030,50724,46805
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,10,bookcase,1.0,0.7900992166580488,0.0,0.8841272279555177,0.7900992166580488,2148270,2155005,1899344
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,11,board,1.0,0.8451407476528413,0.0,0.8792846497764527,0.8451407476528413,234850,215988,206500
ptv3_s3dis_v151_severity,retained,clean_voxel,clean,12,clutter,1.0,0.6053625210255295,0.0,0.7008586799363251,0.6053625210255295,1890227,1622966,1324782
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,0,ceiling,0.7998404476572486,0.9139282934736906,0.004013887029081342,0.949506567656381,0.9099144064446093,3088164,3052451,2932232
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,1,floor,0.7998404476572486,0.9795345934091613,-0.00021346580547176863,0.9905550414375646,0.979748059214633,2572907,2577553,2548606
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,2,wall,0.7998404476572486,0.8412323101360598,-0.0028772305107440665,0.9674466075883363,0.8441095406468039,4587356,5126286,4438022
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,3,beam,0.7998404476572486,0.0,0.0,0.0,0.0,4924,26381,0
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,4,column,0.7998404476572486,0.4266902395903187,-0.013205254748957895,0.5185505323840501,0.4398954943392766,283442,208000,146979
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,5,window,0.7998404476572486,0.5794735460042254,-0.008220780472490974,0.5990164004229619,0.5876943264767164,563644,356641,337632
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,6,door,0.7998404476572486,0.7203269538026893,-0.017802570358553704,0.8384847632218037,0.738129524161243,501123,502385,420184
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,7,table,0.7998404476572486,0.8221339882576892,0.009207140889810006,0.902862640543339,0.8129268473678792,613245,613893,553676
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,8,chair,0.7998404476572486,0.9206423871637998,-0.004364628353829225,0.9650049910765598,0.925007015517629,330590,334951,319021
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,9,sofa,0.7998404476572486,0.7122304978439813,-0.055706629918573,0.7982163254547034,0.7679371277625543,45524,41834,36338
ptv3_s3dis_v151_severity,retained,random_keep0p8,random_drop,10,bookcase,0.7998404476572486,0.7916240449237052,0.0015248282656563639,0.8903400348694027,0.7900992166580488,1718412,1744258,1529971
