method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,0,wall,1.0,0.8757182789053563,0.0,0.9551943662738167,0.8757182789053563,7645668,7996984,7303099
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,1,floor,1.0,0.9637953397845874,0.0,0.9863791700265967,0.9637953397845874,6968151,7036518,6873239
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,2,cabinet,1.0,0.7131966777448967,0.0,0.8231110621882207,0.7131966777448967,999305,976547,822539
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,3,bed,1.0,0.8345901911646817,0.0,0.8792422109788106,0.8345901911646817,657175,612976,577816
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,4,chair,1.0,0.9270713928609902,0.0,0.9629157496056419,0.9270713928609902,2091373,2094677,2013816
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,5,sofa,1.0,0.8689254082932091,0.0,0.9387865095791904,0.8689254082932091,580738,591880,545189
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,6,table,1.0,0.7779483518704728,0.0,0.860211697293994,0.7779483518704728,1060382,1024282,912153
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,7,door,1.0,0.7412371503562653,0.0,0.8562182554287817,0.7412371503562653,1086800,1099123,930538
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,8,window,1.0,0.7147265419242103,0.0,0.8197363772186119,0.7147265419242103,829291,801642,679800
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,9,bookshelf,1.0,0.8393883451182554,0.0,0.9212968588925222,0.8393883451182554,732385,746211,674744
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,10,picture,1.0,0.3862259096465446,0.0,0.49627376934130907,0.3862259096465446,149615,116880,74250
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,11,counter,1.0,0.7243754710134811,0.0,0.8208772995268094,0.7243754710134811,158076,150820,129761
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,12,desk,1.0,0.707632595745423,0.0,0.8691612013018315,0.707632595745423,466727,512199,405661
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,13,curtain,1.0,0.7683385964572393,0.0,0.8538845774762445,0.7683385964572393,418012,403475,356934
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,14,refridgerator,1.0,0.72168381687972,0.0,0.7880180949584986,0.72168381687972,149876,131881,118105
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,15,shower curtain,1.0,0.7053380717389697,0.0,0.7585472835826799,0.7053380717389697,100997,84230,76611
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,16,toilet,1.0,0.9405639318093943,0.0,0.979646178625239,0.9405639318093943,76988,78620,75421
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,17,sink,1.0,0.6977510029664274,0.0,0.7929959009089277,0.6977510029664274,67332,62585,53394
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,18,bathtub,1.0,0.8873115994953842,0.0,0.9261122661122648,0.8873115994953842,72150,69974,66819
ptv3_scannet20_v151_severity,retained,clean_voxel,clean,19,otherfurniture,1.0,0.62993641303507,0.0,0.6733691472735742,0.62993641303507,1088403,807940,732897
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,0,wall,0.8000785484910011,0.8783923381149319,0.002674059209575641,0.9531288895063519,0.8757182789053563,6118225,6352016,5831457
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,1,floor,0.8000785484910011,0.9628276006858183,-0.000967739098769127,0.9870510895203269,0.9637953397845874,5575527,5643603,5503330
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,2,cabinet,0.8000785484910011,0.7038425080465063,-0.009354169698390424,0.8218146073528252,0.7131966777448967,799611,791156,657132
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,3,bed,0.8000785484910011,0.8365486683984188,0.0019584772337370993,0.8784049819586598,0.8345901911646817,525737,488115,461810
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,4,chair,0.8000785484910011,0.9235096573390792,-0.003561735521910969,0.9626999305939652,0.9270713928609902,1674206,1682805,1611758
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,5,sofa,0.8000785484910011,0.8661085776720456,-0.0028168306211634464,0.933144239377453,0.8689254082932091,464672,469571,433606
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,6,table,0.8000785484910011,0.7850538737759248,0.007105521905451995,0.86342104239068,0.7779483518704728,847993,816825,732175
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,7,door,0.8000785484910011,0.7324324059272915,-0.008804744428973721,0.859558443561316,0.7412371503562653,868881,897663,746854
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,8,window,0.8000785484910011,0.7184613279800883,0.00373478605587807,0.8230199716993499,0.7147265419242103,663589,642720,546147
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,9,bookshelf,0.8000785484910011,0.8258418314704676,-0.013546513647787806,0.9156673616126844,0.8393883451182554,585657,599968,536267
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,10,picture,0.8000785484910011,0.39295108190050376,0.0067251722539591885,0.4901530267233243,0.3862259096465446,119783,88342,58712
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,11,counter,0.8000785484910011,0.7114536672905578,-0.012921803722923286,0.8011477557979817,0.7243754710134811,126682,117462,101491
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,12,desk,0.8000785484910011,0.7201328842378916,0.012500288492468536,0.8787352672459292,0.707632595745423,373233,410174,327973
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,13,curtain,0.8000785484910011,0.7782533012243762,0.00991470476713685,0.871452914798206,0.7683385964572393,334500,331559,291501
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,14,refridgerator,0.8000785484910011,0.6897963809451848,-0.031887435934535246,0.7619087358547244,0.72168381687972,119828,103825,91298
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,15,shower curtain,0.8000785484910011,0.7003113976122345,-0.005026674126735187,0.7550577945166436,0.7053380717389697,80717,67256,60946
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,16,toilet,0.8000785484910011,0.9476053069033639,0.007041375093969515,0.9805273833671383,0.9405639318093943,61625,62566,60425
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,17,sink,0.8000785484910011,0.6969275343340251,-0.0008234686324023466,0.793233222789431,0.6977510029664274,53674,49993,42576
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,18,bathtub,0.8000785484910011,0.8942595159754799,0.006947916480095739,0.9247003557735468,0.8873115994953842,57902,55513,53542
ptv3_scannet20_v151_severity,retained,random_keep0p8,random_drop,19,otherfurniture,0.8000785484910011,0.6319185779865667,0.0019821649514967232,0.6770477423858333,0.62993641303507,871008,651918,589714
ptv3_scannet20_v151_severity,retained,random_keep0p5,random_drop,0,wall,0.5000052340328693,0.8732542455532641,-0.00246403335209211,0.9509138198162708,0.8757182789053563,3822909,3975233,3635257
ptv3_scannet20_v151_severity,retained,random_keep0p5,random_drop,1,floor,0.5000052340328693,0.9614503779497882,-0.002344961834799264,0.9885459183746698,0.9637953397845874,3483649,3541923,3443747
ptv3_scannet20_v151_severity,retained,random_keep0p5,random_drop,2,cabinet,0.5000052340328693,0.7067375684945074,-0.006459109250389283,0.8220860124993236,0.7131966777448967,499067,491730,410276
ptv3_scannet20_v151_severity,retained,random_keep0p5,random_drop,3,bed,0.5000052340328693,0.8434142977993577,0.008824106634676032,0.8859413943268927,0.8345901911646817,328603,307692,291123
ptv3_scannet20_v151_severity,retained,random_keep0p5,random_drop,4,chair,0.5000052340328693,0.9136150200450477,-0.013456372815942474,0.9572801899508572,0.9270713928609902,1045323,1050627,1000667
ptv3_scannet20_v151_severity,retained,random_keep0p5,random_drop,5,sofa,0.5000052340328693,0.8669056293336463,-0.0020197789595627347,0.9126884292578307,0.8689254082932091,290958,280920,265554
