method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
sonata_linear_scannet_severity,retained,clean_voxel,clean,0,wall,1.0,0.8579479102679944,0.0,0.930941613358732,0.8579479102679944,7645516,7768005,7117529
sonata_linear_scannet_severity,retained,clean_voxel,clean,1,floor,1.0,0.9595677873529702,0.0,0.9822978344295296,0.9595677873529702,6968187,7009896,6844835
sonata_linear_scannet_severity,retained,clean_voxel,clean,2,cabinet,1.0,0.626064590404337,0.0,0.7554189326869378,0.626064590404337,999182,961247,754801
sonata_linear_scannet_severity,retained,clean_voxel,clean,3,bed,1.0,0.778441465805089,0.0,0.8434934888483498,0.778441465805089,657257,609317,554392
sonata_linear_scannet_severity,retained,clean_voxel,clean,4,chair,1.0,0.8733692988086437,0.0,0.9252688660523434,0.8733692988086437,2091190,2059181,1934913
sonata_linear_scannet_severity,retained,clean_voxel,clean,5,sofa,1.0,0.7866285477990667,0.0,0.9106449146588418,0.7866285477990667,580728,620392,528837
sonata_linear_scannet_severity,retained,clean_voxel,clean,6,table,1.0,0.7143080318233992,0.0,0.8193621283514858,0.7143080318233992,1060276,1024686,868750
sonata_linear_scannet_severity,retained,clean_voxel,clean,7,door,1.0,0.6737338713389281,0.0,0.8081761179911036,0.6737338713389281,1086726,1095120,878266
sonata_linear_scannet_severity,retained,clean_voxel,clean,8,window,1.0,0.6589228115651097,0.0,0.815412499743744,0.6589228115651097,829249,873121,676180
sonata_linear_scannet_severity,retained,clean_voxel,clean,9,bookshelf,1.0,0.759131350242003,0.0,0.9146203429495187,0.759131350242003,732411,819894,669878
sonata_linear_scannet_severity,retained,clean_voxel,clean,10,picture,1.0,0.36915473198395804,0.0,0.49790053623246516,0.36915473198395804,149562,126628,74467
sonata_linear_scannet_severity,retained,clean_voxel,clean,11,counter,1.0,0.6396974240992561,0.0,0.7876708863961146,0.6396974240992561,158146,161149,124567
sonata_linear_scannet_severity,retained,clean_voxel,clean,12,desk,1.0,0.6159237025920367,0.0,0.854858791082805,0.6159237025920367,466649,579946,398919
sonata_linear_scannet_severity,retained,clean_voxel,clean,13,curtain,1.0,0.8024419724433542,0.0,0.8749422966990121,0.8024419724433542,418087,403576,365802
sonata_linear_scannet_severity,retained,clean_voxel,clean,14,refridgerator,1.0,0.5508176214831177,0.0,0.7286630323816129,0.5508176214831177,149869,157593,109204
sonata_linear_scannet_severity,retained,clean_voxel,clean,15,shower curtain,1.0,0.711446332067232,0.0,0.7810927532786552,0.711446332067232,100956,88739,78856
sonata_linear_scannet_severity,retained,clean_voxel,clean,16,toilet,1.0,0.9090986632873129,0.0,0.9692871341154448,0.9090986632873129,76971,79703,74607
sonata_linear_scannet_severity,retained,clean_voxel,clean,17,sink,1.0,0.6495470530488479,0.0,0.7771599339865285,0.6495470530488479,67259,65485,52271
sonata_linear_scannet_severity,retained,clean_voxel,clean,18,bathtub,1.0,0.8611304336828248,0.0,0.9439746007098478,0.8611304336828248,72128,75026,68087
sonata_linear_scannet_severity,retained,clean_voxel,clean,19,otherfurniture,1.0,0.5309171163278764,0.0,0.6080811013702809,0.5309171163278764,1088317,819962,661785
sonata_linear_scannet_severity,retained,random_keep0p8,random_drop,0,wall,0.8000142885706364,0.8587031767717856,0.0007552665037912076,0.928406139461959,0.8579479102679944,6115259,6173834,5677444
sonata_linear_scannet_severity,retained,random_keep0p8,random_drop,1,floor,0.8000142885706364,0.9594152176747124,-0.00015256967825783008,0.9835765568930006,0.9595677873529702,5574227,5623057,5482679
