domain,model,task,metric,stress_type,severity,condition,clean_score,stress_score,raw_damage,null_score,B_down,observed_keep_frac,source
scene,Concerto-D,ScanNet20,mIoU,clean,1.0,clean_voxel,0.7864418955685705,0.7864418955685705,0.0,0.06816672676610405,0.0,1.0,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,random_keep,0.8,random_keep0p8,0.7864418955685705,0.7857186562904587,0.000723239278111798,0.06816672676610405,0.0010069111526124562,0.7997736684404887,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,random_keep,0.5,random_keep0p5,0.7864418955685705,0.7789328490509426,0.007509046517627849,0.06816672676610405,0.01045427552527981,0.5000313240557145,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,random_keep,0.2,random_keep0p2,0.7864418955685705,0.7522062777705546,0.03423561779801587,0.06816672676610405,0.047663652155892695,0.19998948810956416,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,random_keep,0.1,random_keep0p1,0.7864418955685705,0.6909232522264792,0.09551864334209126,0.06816672676610405,0.13298335720186916,0.10004595351906923,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,fixed_budget,16000,fixed_points_16000,0.7864418955685705,0.7075702204634541,0.07887167510511639,0.06816672676610405,0.10980704684057785,0.19518424251761574,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,fixed_budget,8000,fixed_points_8000,0.7864418955685705,0.5856660577102115,0.20077583785835895,0.06816672676610405,0.27952496004156663,0.09759212125880787,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,fixed_budget,4000,fixed_points_4000,0.7864418955685705,0.4011287308016369,0.38531316476693356,0.06816672676610405,0.5364422738006399,0.048796060629403934,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,structured_keep,0.8,structured_b64_keep0p8,0.7864418955685705,0.7122075267783082,0.07423436879026224,0.06816672676610405,0.10335087723278584,0.8044480728224302,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,structured_keep,0.5,structured_b64_keep0p5,0.7864418955685705,0.5244959931237971,0.26194590244477334,0.06816672676610405,0.3646873981199973,0.48870000761384386,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,structured_keep,0.2,structured_b64_keep0p2,0.7864418955685705,0.29448847522600885,0.4919534203425616,0.06816672676610405,0.6849094075781064,0.19843144782442743,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,structured_keep,0.1,structured_b64_keep0p1,0.7864418955685705,0.1973841744267006,0.5890577211418699,0.06816672676610405,0.8201003553052901,0.10593473592593793,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,object_style_keep,0.5,masked_model_keep0p5,0.7864418955685705,0.3736440613534976,0.4127978342150729,0.06816672676610405,0.5747070929700994,0.5105252435634898,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,object_style_keep,0.2,masked_model_keep0p2,0.7864418955685705,0.18915891149335615,0.5972829840752143,0.06816672676610405,0.8315517645849089,0.2045822237443128,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,object_style_keep,0.1,masked_model_keep0p1,0.7864418955685705,0.11258818024037631,0.6738537153281942,0.06816672676610405,0.9381553819431997,0.10273831521493448,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-D,ScanNet20,mIoU,feature_zero,1.0,feature_zero1p0,0.7864418955685705,0.06816672676610405,0.7182751688024664,0.06816672676610405,1.0,1.0,tools/concerto_projection_shortcut/results_support_severity_concerto_decoder.csv
scene,Concerto-L,ScanNet20,mIoU,clean,1.0,clean_voxel,0.7695830671504098,0.7695830671504098,0.0,0.039116418545901095,0.0,1.0,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
scene,Concerto-L,ScanNet20,mIoU,random_keep,0.8,random_keep0p8,0.7695830671504098,0.7705369093030892,-0.0009538421526793517,0.039116418545901095,-0.0013057983612278286,0.8000598802016332,tools/concerto_projection_shortcut/results_support_severity_concerto_linear.csv
