domain,model,task,random20_damage,structured20_damage,structured_over_random,object20_or_partdrop_damage,object_or_part_over_random
object,PointGPT-S mask-on order-random,ScanObjectNN obj_bg,0.30464716006884685,0.6333907056798622,2.0790960451977396,,nan
object,PointGPT-S no-mask,ScanObjectNN obj_bg,0.3803786574870912,0.6609294320137693,1.7375565610859727,,nan
object,PointGPT-S no-mask,ShapeNetPart,0.12707801562670817,0.17414213920118304,1.3703561417950199,0.35763111817454535,2.814264264442775
object,PointGPT-S no-mask order-random,ScanObjectNN obj_bg,0.4509466437177281,0.6592082616179002,1.4618320610687023,,nan
object,PointGPT-S official,ScanObjectNN obj_bg,0.47676419965576594,0.7005163511187608,1.4693140794223827,,nan
object,PointGPT-S official,ShapeNetPart,0.1406597166057557,0.18818102781832757,1.3378459189262102,0.34919554333018266,2.482555430627775
scene,Concerto-D,ScanNet20,0.03423561779801587,0.4919534203425616,14.369637587526544,0.5972829840752143,17.446245240821384
scene,Concerto-L,ScanNet20,0.01800670575794394,0.46878891114028,26.034129587165957,0.5734579711947546,31.84691186180818
scene,PTv3,S3DIS Area-5,0.2661430859742592,0.44857964807278494,1.6854830041167053,0.5901615341742205,2.2174595744760386
scene,PTv3,ScanNet20,0.07497310109357291,0.5211589186154193,6.951278672132928,0.6324942941487941,8.436282945791271
scene,PTv3,ScanNet200,0.0829462048045273,0.2562282969520657,3.0890900621179536,0.29947673817446374,3.610493558809793
scene,Sonata-L,ScanNet20,0.029729738636428804,0.4403465134727149,14.811651015765882,0.5375578495076663,18.08148588460779
scene,Utonia,ScanNet20,0.011127258601804413,0.46803558699793446,42.06207510285032,0.5339046191025232,47.981685175892686
