target_id,target_name,top3_class_id,top3_class_name,count,fraction_of_target
10,picture,0,wall,206471,0.9953191735521254
10,picture,1,floor,2612,0.01259147135102824
10,picture,2,cabinet,23837,0.11490922763953298
10,picture,3,bed,5585,0.02692318816825908
10,picture,4,chair,12744,0.06143403939414391
10,picture,5,sofa,386,0.0018607610802055515
10,picture,6,table,4136,0.019938103180648085
10,picture,7,door,37675,0.181617030302446
10,picture,8,window,67050,0.3232228767559125
10,picture,9,bookshelf,2928,0.01411478871202553
10,picture,10,picture,180308,0.869197173185758
10,picture,11,counter,297,0.0014317254943550487
10,picture,12,desk,2837,0.013676111877054791
10,picture,13,curtain,1333,0.006425892538637306
10,picture,15,shower curtain,712,0.0034322846868040224
10,picture,16,toilet,1,4.820624560118009e-06
10,picture,17,sink,14,6.748874384165212e-05
10,picture,18,bathtub,74,0.00035672621744873266
10,picture,19,otherfurniture,73326,0.35347711649521313
11,counter,0,wall,76416,0.3448998014081964
11,counter,1,floor,24022,0.10842209785159776
11,counter,2,cabinet,200894,0.9067250406210507
11,counter,3,bed,2218,0.01001083228019498
11,counter,4,chair,952,0.00429680447734248
11,counter,5,sofa,959,0.004328398627911175
11,counter,6,table,47845,0.21594601913702835
11,counter,7,door,568,0.0025636396461455138
11,counter,8,window,6687,0.03018144069326593
11,counter,9,bookshelf,322,0.0014533309261599567
11,counter,10,picture,65,0.0002933742552807366
11,counter,11,counter,217324,0.9808810254558584
11,counter,12,desk,10624,0.047950893663116084
11,counter,13,curtain,1112,0.005018956490341217
11,counter,14,refridgerator,6767,0.0305425166997653
11,counter,15,shower curtain,61,0.00027532045495576817
11,counter,17,sink,51519,0.23252843473551182
11,counter,18,bathtub,1,4.513450081242101e-06
11,counter,19,otherfurniture,16324,0.07367755912619607
7,door,0,wall,1550185,0.9687499804710813
7,door,1,floor,106382,0.06648081385284632
7,door,2,cabinet,326348,0.2039431542859571
7,door,3,bed,9664,0.006039279061062086
7,door,4,chair,20940,0.013085937866167227
7,door,5,sofa,2389,0.0014929467794781999
7,door,6,table,7430,0.004643195718511102
7,door,7,door,1584779,0.990368649742437
7,door,8,window,570339,0.35641932744278654
7,door,9,bookshelf,33034,0.020643785648088258
7,door,10,picture,12045,0.007527226437344042
7,door,11,counter,1202,0.0007511603302355781
7,door,12,desk,11111,0.006943546114182619
7,door,13,curtain,67242,0.042021233715225245
7,door,14,refridgerator,2485,0.0015529396178331212
7,door,15,shower curtain,13796,0.008621470811921828
7,door,16,toilet,171,0.00010686224331970371
7,door,17,sink,483,0.0003018389679731982
7,door,18,bathtub,781,0.00048806673703326667
7,door,19,otherfurniture,479767,0.2998185841565163
