variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,door_iou,door_delta_iou
base,0.7572621444019376,0.8574190084199819,0.910416650525372,0.0,0.3749419340084471,0.0,0.6586223294643955,0.0,0.7457823741783915,0.0
pair_probe_top2,0.7226047543666437,0.8570234947422775,0.8691730181616181,-0.03465739003529389,0.23874924155406044,-0.13619269245438667,0.5482022620982452,-0.11042006736615029,0.45602867255679025,-0.2897537016216013
bias_unweighted,0.6816621957119388,0.804923093073539,0.8846573737772586,-0.07559994868999886,0.32191453897075906,-0.05302739503768805,0.6194711879622812,-0.039151141502114295,0.7225530471019558,-0.02322932707643577
bias_balanced,0.6479471522837028,0.8256910594060122,0.8654916324364385,-0.10931499211823481,0.17469326216553444,-0.20024867184291267,0.39564186553761754,-0.26298046392677793,0.7208016939398739,-0.024980680238517627
oracle_top2,0.9116051313936453,0.9482063738899354,0.9745002474007591,0.15434298699170768,0.8042665136078821,0.42932457959943504,0.8905143319415005,0.23189200247710506,0.948910229563879,0.2031278553854875
oracle_top3,0.9541102378285379,0.9722871621896131,0.9877944778322286,0.19684809342660026,0.8670487987843578,0.4921068647759107,0.9621640766812765,0.303541747216881,0.9821849566538831,0.2364025824754915
oracle_top5,0.9821081123128472,0.9883469679781898,0.995659798622415,0.2248459679109096,0.9280841387151787,0.5531422047067316,0.9885353762956283,0.3299130468312328,0.9949169570089681,0.24913458283057655
oracle_top10,0.9973402772326072,0.9979668849211281,0.9995134479605866,0.2400781328306696,0.9829753595804569,0.6080334255720098,0.9977974960057044,0.33917516654130897,0.9997256937480044,0.2539433195696128
oracle_graph_top1,0.8071049538013335,0.8932521805277442,0.926259440427809,0.04984280939939589,0.9779510788068649,0.6030091447984178,0.8022360953021018,0.14361376583770635,0.9287971534686107,0.18301477929021914
oracle_graph_top2,0.927020011193766,0.9609201309186892,0.977328648149522,0.16975786679182836,0.9904542730432694,0.6155123390348223,0.9402762909286323,0.2816539614642368,0.9747645679763619,0.22898219379797036
oracle_graph_top3,0.9630337346944321,0.9801676235952355,0.9892046092068533,0.20577159029249448,0.9949501507740693,0.6200082167656222,0.981763443530079,0.3231411140656836,0.9917848511415027,0.24600247696311117
oracle_graph_top5,0.9866802798280073,0.992600744965979,0.9963165240352193,0.2294181354260697,0.998993057395728,0.6240511233872809,0.998386631575152,0.3397643021107565,0.9978653758728231,0.25208300169443154
prior_alpha0p25,0.7415883493905454,0.8665212413441685,0.9055592123910295,-0.01567379501139221,0.37122950261074983,-0.00371243139769728,0.6439063133589588,-0.014716016105436713,0.7452031399499995,-0.0005792342283920116
prior_alpha0p5,0.6887056989095558,0.8559830191297703,0.8823524805040566,-0.06855644549238182,0.35397109245256214,-0.020970841555884967,0.6237548113195481,-0.03486751814484734,0.7341629510546717,-0.011619423123719885
prior_alpha0p75,0.5911913214447219,0.7844092207300093,0.7866001372200493,-0.16607082295721576,0.33252612866475495,-0.04241580534369216,0.6065686753630813,-0.05205365410131413,0.6534703093274588,-0.0923120648509328
proto_tau0p05_lam0p05,0.7573066222888527,0.858229617789028,0.9104044156562402,4.447788691508414e-05,0.3757459845224812,0.0008040505140340937,0.6582295348706725,-0.0003927945937229893,0.7457117511078111,-7.062307058047779e-05
proto_adapt_tau0p05_lam0p05,0.7572641788707412,0.8576437000685738,0.9104177374499646,2.0344688035356384e-06,0.37517113519680534,0.0002292011883582301,0.6582762404513032,-0.0003460890130922989,0.7457981367515739,1.576257318236518e-05
proto_tau0p05_lam0p1,0.7572571809321775,0.8590488131824721,0.9103582074261252,-4.963469760088657e-06,0.3759822158017088,0.0010402817932617103,0.6576276744567358,-0.0009946550076597171,0.7454694129412056,-0.00031296123718593805
proto_adapt_tau0p05_lam0p1,0.7572980081117021,0.8579018246654371,0.9104253737919739,3.586370976449427e-05,0.3755108864613752,0.0005689524529280954,0.6581777440609149,-0.0004445854034805796,0.7457467576802862,-3.5616498105350836e-05
proto_tau0p05_lam0p2,0.7568079291945806,0.8608394966425539,0.9101440275416659,-0.0004542152073570005,0.3766536032721235,0.0017116692636763853,0.654674425811783,-0.003947903652612439,0.7443031276555273,-0.0014792465228642415
proto_adapt_tau0p05_lam0p2,0.7573335833856697,0.8584034662235194,0.9104272132028228,7.143898373207502e-05,0.3758280666348008,0.0008861326263536751,0.657911880078453,-0.0007104493859424466,0.7456217980334111,-0.00016057614498043993
proto_tau0p1_lam0p05,0.7572749017015569,0.8577837706510671,0.9104157308199475,1.2757299619248208e-05,0.37553834435530353,0.0005964103468564241,0.6583135020370283,-0.0003088274273671532,0.745796258963294,1.3884784902495895e-05
proto_adapt_tau0p1_lam0p05,0.7572770285815731,0.8575318533543965,0.9104194375115068,1.4884179635465955e-05,0.37511601010894224,0.00017407610049513522,0.6584800920857634,-0.00014223737863205965,0.7457867928235667,4.418645175197078e-06
proto_tau0p1_lam0p1,0.7573325371725826,0.8582108026730941,0.9104177374499646,7.039277064502247e-05,0.37602661583486263,0.0010846818264155234,0.6583303510655465,-0.0002919783988489799,0.7456798811056655,-0.0001024930727260287
proto_adapt_tau0p1_lam0p1,0.7572810647823094,0.8576324641051405,0.9104229212441752,1.8920380371767465e-05,0.3752237762736524,0.0002818422652052788,0.6583354732950365,-0.0002868561693589733,0.7457783933846966,-3.980793694902118e-06
proto_tau0p1_lam0p2,0.7573278146632056,0.8591345677865025,0.9103926824446127,6.567026126802489e-05,0.37703480520938176,0.002092871200934654,0.6578012203806356,-0.0008211090837598745,0.7454227570700467,-0.0003596171083448674
proto_adapt_tau0p1_lam0p2,0.7573122351377007,0.8578743536122063,0.910432982264122,5.009073576311973e-05,0.37558408096883583,0.0006421469603887231,0.6581616342590151,-0.0004606952053803903,0.7457395571719501,-4.281700644148678e-05
proto_tau0p2_lam0p05,0.7572772496300486,0.8575414406596702,0.9104184063266368,1.5105228110989799e-05,0.37513070974050755,0.00018877573206044218,0.6584802649873804,-0.00014206447701503588,0.7458028951804752,2.0521002083606632e-05
proto_adapt_tau0p2_lam0p05,0.7572672001534916,0.8574553553746183,0.910417375141767,5.0557515539617626e-06,0.37501964762870965,7.77136202625428e-05,0.6585748949642717,-4.743450012378858e-05,0.7457934541450064,1.1079966614868653e-05
proto_tau0p2_lam0p1,0.7572755938497955,0.8576533542838225,0.9104159537788382,1.3449447857860619e-05,0.3752152199253546,0.00027328591690750637,0.6584072913258968,-0.00021503813849865772,0.7457845495827866,2.1754043950661384e-06
proto_adapt_tau0p2_lam0p1,0.7572763208142794,0.8574935301389355,0.9104209703538809,1.4176412341804223e-05,0.37508169555326176,0.00013976154481465386,0.658540363923159,-8.196554123651723e-05,0.745782694174207,3.199958154009863e-07
proto_tau0p2_lam0p2,0.7572984232286051,0.8579653106777874,0.9104177374499646,3.627882666745741e-05,0.37575953550184404,0.0008176014933969356,0.6583128468076137,-0.0003094826567817677,0.7456859216004792,-9.645257791235373e-05
proto_adapt_tau0p2_lam0p2,0.7572862145577022,0.857563244801473,0.9104228376345912,2.4070155764555068e-05,0.3751601563197058,0.00021822231125867564,0.6584171831392379,-0.00020514632515755693,0.7457918155853563,9.441406964794119e-06
multiproto4_tau0p05_lam0p05,0.7573243748821991,0.8583492664999615,0.910407202642375,6.223048026143818e-05,0.3754438224851234,0.0005018884766763154,0.6582512898394669,-0.0003710396249285708,0.7464748511543953,0.0006924769760037197
multiproto4_adapt_tau0p05_lam0p05,0.7573059103014316,0.857700869915754,0.9104387791952823,4.376589949395271e-05,0.37517277248179637,0.00023083847334925967,0.658348194029693,-0.0002741354347024494,0.7460651556591023,0.0002827814807107032
multiproto4_tau0p05_lam0p1,0.7572444791479402,0.8592487848892679,0.9103373328999755,-1.7665253997378727e-05,0.3752557731657409,0.00031383915729377154,0.657308407433118,-0.001313922031277448,0.7466811953126302,0.0008988211342386698
multiproto4_adapt_tau0p05_lam0p1,0.7573523845973412,0.8579834363523965,0.9104505402767711,9.02401954036014e-05,0.37545360934559513,0.0005116753371480209,0.6583467120077845,-0.00027561745661097703,0.746209383945347,0.0004270097669554218
multiproto4_tau0p05_lam0p2,0.7563361553144612,0.8609982974780342,0.9098666666815306,-0.0009259890874764309,0.3731735209586058,-0.001768413049841322,0.6539539463717616,-0.004668383092633843,0.7460102239597669,0.0002278497813753555
multiproto4_adapt_tau0p05_lam0p2,0.7573648760670616,0.8585336488349297,0.9104419006197533,0.00010273166512397847,0.37553870569564435,0.0005967716871972395,0.6579523444258807,-0.0006699850385147865,0.7465190887810818,0.0007367146026902027
multiproto4_tau0p1_lam0p05,0.7573131950290218,0.8579812305989213,0.9104073141218204,5.105062708421482e-05,0.37539243269292083,0.0004504986844737213,0.6583587758099136,-0.00026355365448182955,0.7461884583460748,0.0004060841676832849
multiproto4_adapt_tau0p1_lam0p05,0.7572822622229846,0.857586936945695,0.9104214162716625,2.0117821046938822e-05,0.3751163346301003,0.00017440062165319237,0.6584317824301352,-0.00019054703426024666,0.745913946228806,0.00013157205041447462
multiproto4_tau0p1_lam0p1,0.7573354739253555,0.8585909829488365,0.9103715849595723,7.332952341787546e-05,0.3754206568387659,0.0004787228303188007,0.6583434366086631,-0.0002788928557323489,0.7465045975902991,0.0007222234119075299
multiproto4_adapt_tau0p1_lam0p1,0.7573256966052822,0.8577661861949416,0.9104317838600839,6.355220334453016e-05,0.37533094201041917,0.00038900800197205765,0.6583821228264498,-0.00024020663794566133,0.7460205525202898,0.00023817834189820974
multiproto4_tau0p1_lam0p2,0.7571577781677937,0.8598552660506847,0.9102223975917765,-0.00010436623414389334,0.37521458602458174,0.0002726520161346335,0.6568573575035821,-0.0017649719608133774,0.7467534142346827,0.000971040056291117
multiproto4_adapt_tau0p1_lam0p2,0.7573630688843285,0.8581008116082962,0.9104368004351265,0.00010092448239085172,0.3754497421950251,0.0005078081865779738,0.6583439839328097,-0.00027834553158578856,0.7462453709221376,0.00046299674374605804
multiproto4_tau0p2_lam0p05,0.7572836448913749,0.8576043340733503,0.9104131110529807,2.1500489437276116e-05,0.37511177294150744,0.00016983893306032893,0.6584777046976557,-0.0001446247667398204,0.7459300913658465,0.00014771718745498763
multiproto4_adapt_tau0p2_lam0p05,0.7572714372192906,0.8574779290911609,0.910417932538994,9.292817352957172e-06,0.3750227627355272,8.082872708009559e-05,0.6585736871943122,-4.8642270083276706e-05,0.7458220878764978,3.971369810629177e-05
multiproto4_tau0p2_lam0p1,0.757300505504294,0.8577988080382342,0.9104085961354424,3.836110235633239e-05,0.375354147879373,0.0004122138709258816,0.6583487412385844,-0.0002735882258110278,0.7460179678998985,0.0002355937215069437
multiproto4_adapt_tau0p2_lam0p1,0.7572816611741188,0.8575274922286938,0.9104180718883007,1.9516772181149555e-05,0.37507536756180127,0.0001334335533541564,0.6584709936534865,-0.0001513358109089813,0.7458604329826796,7.805880428801704e-05
multiproto4_tau0p2_lam0p2,0.7573605041388416,0.8582938786088838,0.9103803918357583,9.835973690397459e-05,0.3755765073687322,0.0006345733602851067,0.658249423944951,-0.00037290551944446637,0.7462739430192395,0.0004915688408480001
multiproto4_adapt_tau0p2_lam0p2,0.757313148436692,0.857652275747683,0.9104243704769653,5.1004034754331684e-05,0.3752097203372622,0.00026778632881507836,0.6584023976698699,-0.0002199317945256185,0.7459390297274734,0.0001566555490818411
