target_id,target_name,pred_id,pred_name,count,fraction_of_target
10,picture,10,picture,4140,0.871578947368421
10,picture,0,wall,610,0.12842105263157894
11,counter,11,counter,48949,0.870312750031115
11,counter,2,cabinet,2918,0.051882011983713526
11,counter,0,wall,2125,0.03778247959746102
11,counter,17,sink,1988,0.03534662091282471
11,counter,14,refridgerator,196,0.0034848781181658164
11,counter,8,window,54,0.00096011948153548
11,counter,19,otherfurniture,13,0.0002311398751844674
7,door,7,door,400624,0.9201074848992903
7,door,0,wall,25506,0.05857927011322661
7,door,1,floor,3239,0.007438965572678625
7,door,8,window,2475,0.005684297558622907
7,door,13,curtain,1377,0.003162536459888381
7,door,19,otherfurniture,1183,0.002716979398727636
7,door,12,desk,345,0.0007923566293837992
7,door,15,shower curtain,272,0.0006246985599779518
7,door,9,bookshelf,141,0.0003238327094003353
7,door,5,sofa,78,0.00017914149881720676
7,door,16,toilet,57,0.00013091109528949726
7,door,4,chair,46,0.00010564755058450656
7,door,2,cabinet,37,8.497737764405962e-05
7,door,18,bathtub,19,4.363703176316575e-05
7,door,3,bed,11,2.52635447049907e-05
