target_id,target_name,top3_class_id,top3_class_name,count,fraction_of_target
10,picture,0,wall,4750,1.0
10,picture,2,cabinet,502,0.10568421052631578
10,picture,3,bed,15,0.003157894736842105
10,picture,6,table,3,0.0006315789473684211
10,picture,7,door,9,0.001894736842105263
10,picture,8,window,1810,0.38105263157894737
10,picture,10,picture,4750,1.0
10,picture,19,otherfurniture,2411,0.507578947368421
11,counter,0,wall,18909,0.33620183845100726
11,counter,1,floor,6027,0.10716000213359884
11,counter,2,cabinet,51000,0.9067795103390645
11,counter,3,bed,789,0.01402841242465729
11,counter,4,chair,299,0.00531621712924275
11,counter,5,sofa,24,0.0004267197695713244
11,counter,6,table,8810,0.1566417154134737
11,counter,7,door,154,0.0027381185214159984
11,counter,8,window,1932,0.03435094145049162
11,counter,9,bookshelf,23,0.00040893977917251924
11,counter,10,picture,47,0.0008356595487438436
11,counter,11,counter,56073,0.9969774016322032
11,counter,12,desk,1862,0.03310634212257525
11,counter,13,curtain,512,0.009103355084188254
11,counter,14,refridgerator,2486,0.04420105613142969
11,counter,15,shower curtain,27,0.00048005974076774
11,counter,17,sink,14211,0.2526714435574205
11,counter,19,otherfurniture,5544,0.09857226677097594
7,door,0,wall,423107,0.971743873590409
7,door,1,floor,27262,0.06261225052249604
7,door,2,cabinet,77700,0.1784524930525252
7,door,3,bed,237,0.0005443145540984359
7,door,4,chair,3303,0.007585953469144025
7,door,5,sofa,324,0.0007441262258560897
7,door,6,table,812,0.001864908936404768
7,door,7,door,433506,0.9956271100801544
7,door,8,window,178887,0.4108472474219701
7,door,9,bookshelf,3143,0.007218483727980524
7,door,10,picture,1178,0.0027054959693162766
7,door,11,counter,64,0.00014698789646540043
7,door,12,desk,5057,0.011614340506648906
7,door,13,curtain,31243,0.0717553570198204
7,door,14,refridgerator,16,3.674697411635011e-05
7,door,15,shower curtain,4339,0.009965320043177694
7,door,16,toilet,120,0.0002756023058726258
7,door,18,bathtub,174,0.0003996233435153074
7,door,19,otherfurniture,115758,0.2658597643600285
