class_id,class_name,kind,k,hit_count,hit_rate,ci_low,ci_high,target_count
10,picture,topk,1,4140,0.871578947368421,0.8620645618470053,0.8810933328898367,4750
10,picture,topk,2,4747,0.9993684210526316,0.9986539479231112,1.0,4750
10,picture,topk,3,4750,1.0,1.0,1.0,4750
10,picture,topk,5,4750,1.0,1.0,1.0,4750
10,picture,topk,10,4750,1.0,1.0,1.0,4750
10,picture,topk,20,4750,1.0,1.0,1.0,4750
10,picture,topk_plus_confusion_graph,1,4750,1.0,1.0,1.0,4750
10,picture,topk_plus_confusion_graph,2,4750,1.0,1.0,1.0,4750
10,picture,topk_plus_confusion_graph,3,4750,1.0,1.0,1.0,4750
10,picture,topk_plus_confusion_graph,5,4750,1.0,1.0,1.0,4750
11,counter,topk,1,48949,0.870312750031115,0.8675361831062127,0.8730893169560172,56243
11,counter,topk,2,55443,0.9857760076809559,0.9847973705063232,0.9867546448555885,56243
11,counter,topk,3,56073,0.9969774016322032,0.9965237163285052,0.9974310869359011,56243
11,counter,topk,5,56203,0.9992888003840478,0.9990684757288384,0.9995091250392572,56243
11,counter,topk,10,56243,1.0,1.0,1.0,56243
11,counter,topk,20,56243,1.0,1.0,1.0,56243
11,counter,topk_plus_confusion_graph,1,51867,0.9221947620148285,0.9199809661305557,0.9244085578991014,56243
11,counter,topk_plus_confusion_graph,2,55963,0.9950216026883345,0.9944399243861607,0.9956032809905083,56243
11,counter,topk_plus_confusion_graph,3,56196,0.9991643404512561,0.998925529089309,0.9994031518132033,56243
11,counter,topk_plus_confusion_graph,5,56221,0.9996088402112263,0.999445416910453,0.9997722635119997,56243
7,door,topk,1,400624,0.9201074848992903,0.9193021450292624,0.9209128247693181,435410
7,door,topk,2,431066,0.990023196527411,0.9897279904693324,0.9903184025854896,435410
7,door,topk,3,433506,0.9956271100801544,0.9954311175583402,0.9958231026019685,435410
7,door,topk,5,435138,0.9993753014400221,0.9993010839213827,0.9994495189586614,435410
7,door,topk,10,435409,0.9999977033141177,0.9999932018149578,1.0,435410
7,door,topk,20,435410,1.0,1.0,1.0,435410
7,door,topk_plus_confusion_graph,1,426130,0.9786867550125169,0.9782577587429474,0.9791157512820864,435410
7,door,topk_plus_confusion_graph,2,434783,0.9985599779518155,0.9984473416143278,0.9986726142893032,435410
7,door,topk_plus_confusion_graph,3,435193,0.999501619163547,0.9994353243902111,0.9995679139368828,435410
7,door,topk_plus_confusion_graph,5,435394,0.9999632530258836,0.9999452473394029,0.9999812587123643,435410
