variant,mIoU,mAcc,allAcc,delta_mIoU,picture_iou,picture_delta_iou,counter_iou,counter_delta_iou,door_iou,door_delta_iou
base,0.7574084716910832,0.8854408644264705,0.915441915606407,0.0,0.29520821448944456,0.0,0.7229960267639532,0.0,0.8049200452464139,0.0
pair_probe_top2,0.7219107595225134,0.8696073161967014,0.8781064785300642,-0.035497712168569784,0.12354260089686053,-0.17166561359258403,0.6115447038044768,-0.11145132295947646,0.5355053800480926,-0.26941466519832136
bias_unweighted,0.6756663632245883,0.8312754861364777,0.8901337126181207,-0.08174210846649488,0.18656594528378856,-0.108642269205656,0.7160456251721079,-0.0069504015918453455,0.7885551305409554,-0.016364914705458533
bias_balanced,0.6502289787332234,0.8519377839401698,0.8769292608229421,-0.10717949295785978,0.04544145320480813,-0.24976676128463643,0.445605731939788,-0.2773902948241653,0.7769717719849688,-0.02794827326144511
oracle_top2,0.9367142445003788,0.9702097951788158,0.980172113020538,0.1793057728092956,0.9747433264886863,0.6795351119992418,0.931126561870212,0.20813053510625878,0.9644721386300326,0.15955209338361864
oracle_top3,0.9727216039613463,0.9876752075689158,0.9918411761320098,0.21531313227026316,0.9991586032814261,0.7039503887919816,0.9841684949539254,0.2611724681899722,0.9913421695343155,0.1864221242879016
oracle_top5,0.9907527062874854,0.9960272665480353,0.9974117850526768,0.2333442345964022,0.9999999999999789,0.7047917855105343,0.9990578782707604,0.2760618515068072,0.9988797730163027,0.1939597277698888
oracle_top10,0.9991785985910842,0.9996355721958983,0.9998585592906633,0.241770126900001,0.9999999999999789,0.7047917855105343,0.9999999999999982,0.277003973236045,0.9999977033141174,0.1950776580677035
oracle_graph_top1,0.8057367651483144,0.8995965275606205,0.927806315975544,0.04832829345723122,0.9664292980671217,0.6712210835776772,0.8169189333921331,0.09392290662817981,0.9481734316522108,0.14325338640579688
oracle_graph_top2,0.9401847381215432,0.9713377421385054,0.981300501630319,0.18277626643046008,0.9978991596638446,0.7026909451744,0.9450495634699478,0.2220535367059946,0.9786502741588408,0.17373022891242684
oracle_graph_top3,0.973888818469242,0.9880828068368119,0.9923852523032194,0.21648034677815886,0.9991586032814261,0.7039503887919816,0.9881136587424374,0.26511763197848415,0.9962297408662207,0.19130969561980682
oracle_graph_top5,0.991134493319912,0.996193557882432,0.997532357460636,0.23372602162882883,0.9999999999999789,0.7047917855105343,0.9993778441410676,0.2763818173771143,0.9994674330733241,0.19454738782691017
prior_alpha0p25,0.7387797936181547,0.8927026844238192,0.9113620944900319,-0.01862867807292845,0.2694673391561061,-0.025740875333338464,0.7063878786176672,-0.016608148146286084,0.8024276324652109,-0.002492412781203046
prior_alpha0p5,0.6874657849920888,0.8817543652829443,0.8928978759888233,-0.0699426866989944,0.23612923430241542,-0.059078980187029145,0.686436362661806,-0.03655966410214728,0.7910149898297003,-0.013905055416713608
prior_alpha0p75,0.5886090682798613,0.8071755381975418,0.8038299197975256,-0.1687994034112219,0.21302874123601148,-0.08217947325343308,0.6686629617522057,-0.054333065011747506,0.7315769024792346,-0.07334314276717935
