pair,positive_class,negative_class,stage,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
picture_vs_wall,picture,wall,point_feature,unweighted,0.8860881626605988,0.002152579668496454,0.8819537743926048,0.8898767367005348,0.9656643271446228,0.0010793169370045222,0.9636654049158097,0.9677921831607819,0.9225262999534607,0.8496500253677368,0.8549961447715759,51612,60000,4750,60000,111612,
picture_vs_wall,picture,wall,point_feature,balanced,0.8847210705280304,0.0020645160833392827,0.8811938516795635,0.8889981746673584,0.9650688171386719,0.0011019829584792216,0.9632476329803467,0.967245414853096,0.924842119216919,0.8446000218391418,0.8504864573478699,51612,60000,4750,60000,103224,
picture_vs_wall,picture,wall,point_feature,weighted,0.8844122588634491,0.002133108652054055,0.8805983036756515,0.8885469898581505,0.9657388925552368,0.0011914897009464495,0.9636575654149055,0.9680880188941956,0.9231578707695007,0.8456666469573975,0.8513513803482056,51612,60000,4750,60000,111612,1.162520344106022
picture_vs_wall,picture,wall,linear_logits,unweighted,0.9054258763790131,0.0017088902563314238,0.9017767317593097,0.9082001127302647,0.9706528782844543,0.0008607843560932305,0.9689567402005196,0.9722280278801918,0.9473684430122375,0.8634833097457886,0.8696370720863342,51612,60000,4750,60000,111612,
picture_vs_wall,picture,wall,linear_logits,balanced,0.9039306938648224,0.0016801946373824152,0.9008523643016815,0.9067331351339817,0.970615804195404,0.0008655983838214965,0.9691343262791634,0.9721212476491928,0.9498947262763977,0.8579666614532471,0.8647104501724243,51612,60000,4750,60000,103224,
picture_vs_wall,picture,wall,linear_logits,weighted,0.9047706127166748,0.0017935484503614496,0.9012731313705444,0.9079951211810112,0.9708139896392822,0.0008509731748889995,0.969182850420475,0.9722673758864403,0.9511578679084778,0.8583833575248718,0.8651891946792603,51612,60000,4750,60000,111612,1.162520344106022
picture_vs_wall,picture,wall,linear_logits,direct_pair_margin,0.9319574534893036,0.0026400952490702708,0.9271723374724388,0.9370560377836228,nan,3.8162110601173346e-05,0.9995764151215554,0.9997237294912338,0.8646315932273865,0.9992833137512207,0.9894053936004639,51612,60000,4750,60000,0,
door_vs_wall,door,wall,point_feature,unweighted,0.729491651058197,0.001315392396535797,0.7270720787346363,0.7321581341326237,0.8528239727020264,0.0010569860828582036,0.85088452398777,0.8550034537911415,0.763866662979126,0.6951166391372681,0.729491651058197,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,point_feature,balanced,0.7294166684150696,0.0015449530258013907,0.7267075054347515,0.7324168764054775,0.8528138399124146,0.0012516351000713998,0.85044766664505,0.8552667528390885,0.7639833092689514,0.6948500275611877,0.7294166684150696,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,point_feature,weighted,0.729491651058197,0.0013410863367958555,0.7267864659428597,0.7317341707646847,0.8528239727020264,0.00114560133107248,0.8505878388881684,0.8550804153084754,0.763866662979126,0.6951166391372681,0.729491651058197,60000,60000,60000,60000,120000,1.0
door_vs_wall,door,wall,linear_logits,unweighted,0.9122166931629181,0.0008022573276080204,0.9107356242835521,0.9139845810830594,0.9815269708633423,0.0002629603467259716,0.9810284718871116,0.9820865079760551,0.876466691493988,0.9479666948318481,0.9122166633605957,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,linear_logits,balanced,0.9122166931629181,0.0008963384375346806,0.9106062382459641,0.9140647917985916,0.9815268516540527,0.0002901922728438809,0.9810426965355873,0.9821301847696304,0.876466691493988,0.9479666948318481,0.9122166633605957,60000,60000,60000,60000,120000,
door_vs_wall,door,wall,linear_logits,weighted,0.9122166931629181,0.0008233065796656395,0.9105527117848397,0.9140985421836376,0.9815269708633423,0.0002374369108487721,0.9810568287968635,0.9819547012448311,0.876466691493988,0.9479666948318481,0.9122166633605957,60000,60000,60000,60000,120000,1.0
door_vs_wall,door,wall,linear_logits,direct_pair_margin,0.9624083340167999,0.0005682906588219584,0.9611597843468189,0.9634312599897384,nan,0.00014584349186046937,0.9937952265143395,0.9943584904074669,0.9477333426475525,0.9770833253860474,0.9624083042144775,60000,60000,60000,60000,0,
counter_vs_cabinet,counter,cabinet,point_feature,unweighted,0.693177118897438,0.0009201564003801302,0.6916741974651813,0.695165665447712,0.9571566581726074,0.00048220398446969696,0.9563713908195496,0.9580973133444786,0.998204231262207,0.38815000653266907,0.683318555355072,21864,60000,56243,60000,81864,
counter_vs_cabinet,counter,cabinet,point_feature,balanced,0.6740499287843704,0.0009686844153190992,0.6723819818347693,0.6761126510798932,0.9567136168479919,0.0005022284266391474,0.9558386683464051,0.9578014507889747,0.998666524887085,0.3494333326816559,0.6635582447052002,21864,60000,56243,60000,43728,
counter_vs_cabinet,counter,cabinet,point_feature,weighted,0.6822804659605026,0.0010090009156409334,0.6805609036237001,0.6842609051615,0.9592266082763672,0.0005581882692200885,0.9581551253795624,0.9601995393633842,0.9985775947570801,0.36598333716392517,0.6720576882362366,21864,60000,56243,60000,81864,2.74423710208562
counter_vs_cabinet,counter,cabinet,linear_logits,unweighted,0.836055189371109,0.0009217532946768191,0.8340137131512165,0.8376522526144982,0.920419454574585,0.0007170824771225259,0.9190526515245437,0.9218757018446923,0.8601603507995605,0.8119500279426575,0.8352761268615723,21864,60000,56243,60000,81864,
counter_vs_cabinet,counter,cabinet,linear_logits,balanced,0.836609423160553,0.0010737432065096118,0.8344462737441063,0.8386772185564041,0.9220983982086182,0.0007359825757673113,0.920699617266655,0.9233994066715241,0.9018188714981079,0.771399974822998,0.8345018625259399,21864,60000,56243,60000,43728,
counter_vs_cabinet,counter,cabinet,linear_logits,weighted,0.8411093652248383,0.000942944975981371,0.8394124150276184,0.8429456785321235,0.9255449771881104,0.0006528745199555603,0.9244608715176582,0.9267445117235183,0.9098020792007446,0.7724166512489319,0.8388892412185669,21864,60000,56243,60000,81864,2.74423710208562
counter_vs_cabinet,counter,cabinet,linear_logits,direct_pair_margin,0.9499191641807556,0.0006584906139860857,0.9489010132849216,0.9512150712311268,nan,0.00020927261636068692,0.9895985767245292,0.9904118582606316,0.9417883157730103,0.958050012588501,0.9501819610595703,21864,60000,56243,60000,0,
