pair,target_id,target_name,pred_id,pred_name,count,fraction_of_target
picture_vs_wall,10,picture,0,wall,643,0.13536842105263158
picture_vs_wall,10,picture,10,picture,4107,0.8646315789473684
picture_vs_wall,0,wall,0,wall,52499,0.8749833333333333
picture_vs_wall,0,wall,1,floor,211,0.0035166666666666666
picture_vs_wall,0,wall,2,cabinet,85,0.0014166666666666668
picture_vs_wall,0,wall,6,table,339,0.00565
picture_vs_wall,0,wall,7,door,1367,0.022783333333333333
picture_vs_wall,0,wall,8,window,3485,0.058083333333333334
picture_vs_wall,0,wall,10,picture,43,0.0007166666666666667
picture_vs_wall,0,wall,11,counter,179,0.0029833333333333335
picture_vs_wall,0,wall,14,refridgerator,1538,0.025633333333333334
picture_vs_wall,0,wall,19,otherfurniture,254,0.004233333333333334
door_vs_wall,7,door,0,wall,2306,0.03843333333333333
door_vs_wall,7,door,1,floor,575,0.009583333333333333
door_vs_wall,7,door,7,door,56133,0.93555
door_vs_wall,7,door,8,window,328,0.0054666666666666665
door_vs_wall,7,door,9,bookshelf,124,0.0020666666666666667
door_vs_wall,7,door,19,otherfurniture,534,0.0089
door_vs_wall,0,wall,0,wall,52499,0.8749833333333333
door_vs_wall,0,wall,1,floor,211,0.0035166666666666666
door_vs_wall,0,wall,2,cabinet,85,0.0014166666666666668
door_vs_wall,0,wall,6,table,339,0.00565
door_vs_wall,0,wall,7,door,1367,0.022783333333333333
door_vs_wall,0,wall,8,window,3485,0.058083333333333334
door_vs_wall,0,wall,10,picture,43,0.0007166666666666667
door_vs_wall,0,wall,11,counter,179,0.0029833333333333335
door_vs_wall,0,wall,14,refridgerator,1538,0.025633333333333334
door_vs_wall,0,wall,19,otherfurniture,254,0.004233333333333334
counter_vs_cabinet,11,counter,0,wall,2092,0.037195739914300446
counter_vs_cabinet,11,counter,2,cabinet,2910,0.05173977206052309
counter_vs_cabinet,11,counter,8,window,51,0.0009067795103390644
counter_vs_cabinet,11,counter,11,counter,49091,0.8728375086677453
counter_vs_cabinet,11,counter,14,refridgerator,210,0.0037337979837490888
counter_vs_cabinet,11,counter,17,sink,1880,0.033426381949753746
counter_vs_cabinet,11,counter,19,otherfurniture,9,0.00016001991358924667
counter_vs_cabinet,2,cabinet,0,wall,2097,0.03495
counter_vs_cabinet,2,cabinet,1,floor,831,0.01385
counter_vs_cabinet,2,cabinet,2,cabinet,37381,0.6230166666666667
counter_vs_cabinet,2,cabinet,5,sofa,506,0.008433333333333333
counter_vs_cabinet,2,cabinet,6,table,169,0.0028166666666666665
counter_vs_cabinet,2,cabinet,8,window,3366,0.0561
counter_vs_cabinet,2,cabinet,9,bookshelf,5542,0.09236666666666667
counter_vs_cabinet,2,cabinet,11,counter,1388,0.023133333333333332
counter_vs_cabinet,2,cabinet,12,desk,1599,0.02665
counter_vs_cabinet,2,cabinet,13,curtain,440,0.007333333333333333
counter_vs_cabinet,2,cabinet,14,refridgerator,3814,0.06356666666666666
counter_vs_cabinet,2,cabinet,19,otherfurniture,2867,0.04778333333333333
