subset,count,energy_mean,energy_p50,energy_p90,u_hat_norm_mean,u_hat_norm_p50,u_hat_norm_p90,r2,r2_dim0,r2_dim1
all,35881054,0.02507171,0.02207543,0.04588876,1.07050873,0.97790170,1.83008575,0.49346100,0.61220758,0.37882110
cabinet_all,1399895,0.01024158,0.00706227,0.02391783,0.60259726,0.55687881,1.05645561,0.29968060,0.38676028,0.20742493
cabinet_correct,1161951,0.00910423,0.00617682,0.02113613,0.56976158,0.52132058,1.00539672,0.30135251,0.40470981,0.18001425
cabinet_error_any,237944,0.01579559,0.01250051,0.03405654,0.76294360,0.72788179,1.26522017,0.29125567,0.26891052,0.30570109
cabinet_error_to_majority,73303,0.02192522,0.02031389,0.04091709,0.88495212,0.87032312,1.40950274,0.36597801,0.36996031,0.36282650
counter_all,221560,0.01198002,0.01080314,0.02138504,0.82128423,0.82466888,1.16037047,-0.01148919,0.01698062,-0.03076541
counter_correct,179662,0.01194290,0.01093344,0.02051272,0.84608216,0.84173644,1.16211486,-0.00939074,-0.02619415,0.00119447
counter_error_any,41898,0.01213917,0.00990084,0.02587874,0.71494872,0.71456647,1.15166938,-0.03133869,0.12430935,-0.16379639
counter_error_to_majority,31522,0.01205095,0.00934853,0.02696871,0.67296035,0.66098607,1.11711359,0.01873702,0.23689816,-0.16592027
counter_to_cabinet,20764,0.00756118,0.00578913,0.01663348,0.54158447,0.51783776,0.91027737,-0.14029445,0.08865547,-0.34422369
desk_all,655163,0.00768136,0.00588563,0.01616923,0.56390913,0.54062259,0.91119146,0.15026595,0.06914882,0.21156011
desk_correct,563174,0.00686822,0.00548106,0.01414666,0.54353343,0.52581757,0.86504471,0.11241562,-0.00342093,0.19949115
desk_error_any,91989,0.01265959,0.00966070,0.02770331,0.68865297,0.65107328,1.16623998,0.26845748,0.29604806,0.24967320
desk_error_to_majority,66289,0.01349060,0.01054980,0.02936785,0.70472782,0.66500139,1.21651733,0.29908202,0.16506200,0.38211808
desk_to_table,20839,0.01308893,0.01197451,0.02273345,0.73263370,0.72452253,1.05601370,0.08693475,-0.01046353,0.19006474
door_all,1600191,0.00992283,0.00822118,0.02114170,0.61021278,0.59453100,0.95937204,0.17455730,0.33104384,0.05022352
door_correct,1450342,0.00889259,0.00757233,0.01730127,0.58920283,0.57246399,0.89582574,0.16603245,0.33472468,0.03223211
door_error_any,149849,0.01989417,0.01792858,0.03726754,0.81356159,0.79712844,1.22933376,0.23575117,0.28575755,0.19618416
door_error_to_majority,120841,0.02135362,0.01944139,0.03884589,0.83928459,0.81681603,1.26205039,0.23574407,0.31290559,0.17395017
door_to_wall,110559,0.02067567,0.01863734,0.03760261,0.80555771,0.79475707,1.17667758,0.16112864,0.26788276,0.07283433
hard_all,4344948,0.01097743,0.00805362,0.02387841,0.64384123,0.60907084,1.05927241,0.26639262,0.39986482,0.13542409
hard_correct_all,3692348,0.00949420,0.00724115,0.01983996,0.61247733,0.57853866,1.00257421,0.26455674,0.40617799,0.12041956
hard_error_any,652600,0.01936939,0.01520306,0.04255460,0.82129518,0.78938580,1.34782314,0.27514961,0.35787650,0.20913475
hard_error_to_majority,403221,0.02343000,0.01989875,0.04803569,0.88981278,0.86510128,1.43114650,0.31007224,0.41473070,0.21467366
majority_correct_all,25877731,0.02787661,0.03155547,0.04874796,1.15532393,1.19955027,1.91450846,0.51924212,0.64252236,0.39768362
majority_error_any,1715133,0.01984462,0.01638969,0.04148557,0.87493845,0.82990551,1.46340966,0.42687606,0.50972494,0.34879819
picture_all,207442,0.03857236,0.03860008,0.05848097,1.34416465,1.38529325,1.74800336,-0.05827994,0.16697627,-0.22487051
picture_correct,112009,0.03757267,0.03692049,0.05521701,1.46616516,1.48918235,1.80780029,-0.22495517,-0.03867981,-0.33278807
picture_error_any,95433,0.03974569,0.04121507,0.06140829,1.20097357,1.24019682,1.62326658,0.01813030,0.22012107,-0.14954867
picture_error_to_majority,90971,0.04123291,0.04214418,0.06178164,1.23073278,1.25703454,1.63058078,-0.04150815,0.14263780,-0.19118009
picture_to_wall,90510,0.04132222,0.04221803,0.06182114,1.23191142,1.25786877,1.63089049,-0.05166543,0.13344979,-0.20210100
shower_curtain_all,158208,0.00656366,0.00476491,0.01489649,0.53456260,0.51353455,0.89521420,-0.02072871,0.27974268,-0.31975285
shower_curtain_correct,138331,0.00551722,0.00409740,0.01237798,0.50675284,0.47980776,0.86621231,0.00718177,0.25617338,-0.23750282
shower_curtain_error_any,19877,0.01384626,0.01257213,0.02422548,0.72810044,0.71730345,1.02445185,-0.30105430,0.43304281,-1.13014452
shower_curtain_error_to_majority,9478,0.01563913,0.01459308,0.02632909,0.71610879,0.70656848,0.97062057,-0.21544732,0.36869867,-0.77902482
shower_curtain_to_wall,8840,0.01538321,0.01457119,0.02561033,0.70067548,0.70447254,0.93484682,-0.46501337,0.25413525,-1.13703928
sink_all,102489,0.00735688,0.00546118,0.01633789,0.61082016,0.58674872,1.02652419,-0.28755692,-0.22385689,-0.32568763
sink_correct,86879,0.00684338,0.00515028,0.01519075,0.60385990,0.58073318,1.01049638,-0.31679451,-0.27084000,-0.34170851
sink_error_any,15610,0.01021487,0.00784172,0.02199009,0.64955821,0.62955797,1.09970391,-0.15723805,-0.07083334,-0.24329208
sink_error_to_majority,10817,0.00799796,0.00557928,0.01814949,0.53846144,0.50457370,0.93429506,-0.21691892,-0.19717223,-0.23350010
sink_to_cabinet,8903,0.00653839,0.00465728,0.01491403,0.49791876,0.46193027,0.87655187,-0.11452996,-0.13645531,-0.09415830
