variant,beta,lambda,r2_refit_after,mIoU,delta_mIoU_vs_base_logits,delta_mIoU_vs_refit,mAcc,allAcc,weak_mean_iou,picture_iou,picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
base_decoder_logits,,,,0.76825285,0.00000000,0.03650868,0.88772335,0.91671800,0.70021179,0.70520325,0.13066028,0.76330059,0.66753263,0.61041922,0.78528409,0.64427967,0.72546309
refit_linear_original,0.00000000,,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
remove_beta0,0.00000000,,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0_lambda0p25,0.00000000,0.25000000,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0_lambda0p5,0.00000000,0.50000000,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0_lambda1,0.00000000,1.00000000,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
remove_beta0p25,0.25000000,,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0p25_lambda0p25,0.25000000,0.25000000,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0p25_lambda0p5,0.25000000,0.50000000,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0p25_lambda1,0.25000000,1.00000000,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
remove_beta0p5,0.50000000,,0.49249005,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0p5_lambda0p25,0.50000000,0.25000000,0.49249005,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0p5_lambda0p5,0.50000000,0.50000000,0.49249005,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0p5_lambda1,0.50000000,1.00000000,0.49249005,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
remove_beta0p75,0.75000000,,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0p75_lambda0p25,0.75000000,0.25000000,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0p75_lambda0p5,0.75000000,0.50000000,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta0p75_lambda1,0.75000000,1.00000000,0.49248999,0.73174417,-0.03650868,0.00000000,0.90761782,0.90015500,0.64671300,0.52783573,0.02952324,0.74538745,0.59430137,0.58214658,0.79011622,0.59004531,0.69715832
addback_beta1_lambda1,1.00000000,1.00000000,0.47354490,0.73053157,-0.03772128,-0.00121260,0.90601378,0.90011900,0.64587159,0.53592146,0.03032116,0.74744248,0.59561306,0.58166985,0.78988094,0.59175719,0.67881611
addback_beta1_lambda0p5,1.00000000,0.50000000,0.47354490,0.73040671,-0.03784614,-0.00133746,0.90611920,0.90000050,0.64542506,0.53245459,0.02972272,0.74719985,0.59489672,0.58172659,0.78965887,0.59160102,0.68043776
addback_beta1_lambda0p25,1.00000000,0.25000000,0.47354490,0.73030838,-0.03794447,-0.00143579,0.90606814,0.89993700,0.64520425,0.53113958,0.02932376,0.74716527,0.59453112,0.58202989,0.78946055,0.59150222,0.68060109
remove_beta1,1.00000000,,0.47354490,0.73027190,-0.03798095,-0.00147227,0.90609994,0.89987700,0.64511597,0.52956072,0.02932376,0.74711899,0.59414463,0.58202989,0.78942050,0.59139613,0.68214091
xyz_only_mlp,,,,0.05758164,-0.71067122,-0.67416254,0.13472626,0.22530750,0.01840830,0.00642968,0.00897666,0.03469752,0.01944739,0.00824176,0.03872370,0.01626426,0.00505382
